GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	0.86	0.85	0.88	0.97	0.82	-90	-87	-7	5	-1
01003	0.92	0.88	1.07	1.43	0.57	-284	-336	22	39	-8
01005	1.03	0.83	1.06	2.33	1.03	-8	-22	4	9	0
01007	0.98	0.97	1.03	0.91	1.28	-20	-22	1	1	0
01009	1.0	0.93	1.63	1.45	2.13	-44	-75	3	27	2
01011	1.21	0.96	1.13	2.27	0.59	14	-2	9	7	0
01013	0.89	0.92	0.85	1.37	0.83	-19	-17	-4	2	0
01015	0.88	0.83	0.94	1.28	0.87	-91	-129	20	18	1
01017	0.97	0.95	0.9	2.87	1.14	-27	-29	-8	9	1
01019	0.84	0.81	1.42	0.72	2.85	-57	-57	0	-1	1
01021	1.02	0.93	1.15	1.75	0.97	-8	-34	8	17	1
01023	0.94	0.89	0.98	2.0	0.69	-14	-12	-2	0	0
01025	0.92	0.98	0.83	2.01	0.29	-25	-8	-20	4	-1
01027	0.83	0.76	0.9	1.84	1.57	-23	-22	-4	3	0
01029	0.99	0.97	1.36	1.44	0.32	-16	-18	1	1	0
01031	0.96	0.86	1.08	1.4	1.07	-48	-74	10	17	-1
01033	0.93	0.94	0.88	1.2	0.68	-64	-57	-8	3	-2
01035	1.09	1.13	0.99	2.78	1.62	0	1	-3	3	-1
01037	0.77	0.71	0.78	2.19	0.74	-38	-22	-17	2	-1
01039	1.05	1.0	1.24	1.79	0.74	-8	-20	10	4	-2
01041	0.91	0.92	0.72	3.1	0.64	-9	-6	-7	4	0
01043	1.02	0.95	1.5	1.67	2.8	-12	-58	7	27	12
01045	1.03	1.03	0.97	1.25	0.91	9	-8	5	11	2
01047	0.97	0.92	0.97	1.73	1.07	7	-14	19	1	0
01049	0.98	0.86	1.26	1.53	0.67	-57	-114	2	59	-4
01051	0.85	0.84	0.84	1.13	0.99	-123	-115	-20	12	-1
01053	1.03	0.98	0.98	1.82	1.65	-7	-17	1	8	1
01055	0.89	0.81	1.02	1.87	0.77	-150	-177	0	28	-1
01057	1.04	0.9	1.33	1.84	23.25	-13	-23	2	3	5
01059	1.12	0.94	1.2	1.9	0.5	1	-34	-6	40	0
01061	0.96	0.97	0.89	0.99	1.04	-36	-36	0	0	0
01063	0.97	1.11	0.91	2.05	7.43	-4	-1	-4	0	1
01065	1.0	1.07	0.95	1.35	2.86	5	-4	8	1	1
01067	0.87	0.88	0.84	0.96	0.88	-23	-18	-6	1	0
01069	0.88	0.84	0.9	1.32	1.02	-107	-125	2	12	4
01071	0.85	0.78	1.86	1.31	0.65	-89	-100	9	4	-2
01073	0.92	0.85	0.92	1.93	0.83	-65	-302	34	205	-2
01075	0.91	0.88	0.99	1.75	1.5	-19	-19	-1	1	0
01077	0.77	0.74	0.79	1.45	0.54	-142	-154	-3	15	-1
01079	0.9	0.94	0.82	0.65	1.5	-62	-48	-10	-4	0
01081	0.73	0.69	0.74	1.19	0.89	-92	-65	-42	23	-8
01083	0.89	0.85	0.88	1.36	0.67	-155	-156	-26	33	-5
01085	1.03	1.15	0.98	2.55	0.0	-3	-5	1	2	0
01087	0.66	0.87	0.62	1.16	0.97	-19	-7	-13	1	0
01089	0.87	0.87	0.81	1.24	0.74	-377	-406	7	55	-32
01091	1.07	1.15	0.97	1.82	2.14	-4	2	-9	3	0
01093	0.91	0.87	1.56	1.49	0.77	-43	-49	3	2	0
01095	1.14	0.89	2.09	2.39	1.07	32	-121	14	142	-2
01097	0.98	0.92	1.05	1.14	1.03	108	-170	242	36	0
01099	0.87	0.84	0.87	1.56	1.06	-27	-19	-11	3	0
01101	0.96	0.88	0.91	3.07	0.95	62	-108	72	103	-5
01103	0.96	0.83	1.04	1.85	0.95	-102	-190	8	80	0
01105	0.79	0.64	0.86	0.64	0.0	-4	-4	1	0	0
01107	0.82	0.73	0.94	0.56	0.18	-42	-34	-2	-4	-1
01109	0.66	0.63	0.68	1.1	0.66	-14	-9	-9	2	1
01111	0.99	0.94	1.01	1.5	2.54	-25	-28	-1	4	0
01113	1.02	1.06	0.91	1.84	1.12	32	14	-11	26	3
01115	0.96	0.95	0.95	1.61	0.84	-89	-87	-6	9	-5
01117	0.9	0.87	0.79	1.57	1.08	-362	-377	-50	66	-1
01119	0.77	0.7	0.8	0.81	0.52	-3	1	-5	0	1
01121	0.81	0.84	0.73	1.39	0.59	-156	-103	-53	5	-5
01123	0.94	0.92	0.88	2.47	1.02	-57	-52	-11	5	0
01125	0.77	0.67	0.83	1.86	0.59	0	-116	36	74	6
01127	1.03	0.94	1.32	3.6	1.03	-37	-77	13	27	1
01129	0.96	0.99	1.05	0.67	0.19	-26	-20	-4	-1	0
01131	1.07	0.8	1.12	3.85	2.4	2	-8	8	1	0
01133	0.93	0.89	2.32	1.47	1.59	-35	-40	2	3	1
02013	0.52	0.95	1.35	0.73	0.22	-12	1	1	-2	-12
02016	0.58	0.95	1.11	0.91	0.29	-20	-3	0	-2	-15
02020	1.01	0.89	1.36	1.26	1.0	325	-51	99	224	53
02050	1.66	0.99	5.66	1.75	0.78	115	5	3	106	0
02060	1.36	1.06	1.35	1.93	0.57	1	0	0	2	-1
02068	0.68	0.69	0.47	0.86	0.38	-8	-6	0	0	-2
02070	1.87	1.12	3.48	2.05	0.96	38	2	1	35	0
02090	1.09	1.0	1.34	1.35	1.08	246	94	37	97	18
02100	0.84	0.82	0.0	1.0	0.53	-4	-5	0	1	0
02105	1.14	1.17	0.0	1.21	0.0	0	-2	0	2	0
02110	0.86	0.74	1.08	1.33	0.61	-26	-46	2	28	-9
02122	1.06	1.02	1.44	1.28	0.99	19	-5	2	23	-1
02130	0.87	0.83	1.14	1.09	0.67	-16	-17	0	5	-3
02150	1.13	1.09	1.51	1.53	0.81	27	16	2	13	-4
02158	2.11	2.66	16.8	2.06	1.78	71	4	1	66	0
02164	1.41	1.11	1.26	1.65	0.18	5	2	0	8	-4
02170	1.12	1.07	1.47	1.42	0.76	127	54	7	67	-1
02180	1.65	1.04	3.59	1.8	0.6	57	1	2	54	0
02185	1.45	0.72	2.48	1.73	0.93	36	-5	1	38	1
02188	1.77	1.03	2.57	1.87	0.82	53	1	1	51	0
