GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	0.87	0.86	0.86	1.18	0.5	-94	-87	-4	1	-4
01003	0.95	0.88	1.11	1.63	0.66	-242	-310	15	56	-4
01005	1.14	0.98	1.15	2.57	0.32	-12	-24	-1	14	-1
01007	0.91	0.91	0.85	1.46	0.97	-25	-21	-5	2	-1
01009	0.99	0.9	1.73	1.69	1.2	-45	-84	5	33	1
01011	1.1	0.83	1.0	2.4	0.94	6	-4	-2	11	0
01013	0.94	0.94	0.91	1.6	1.29	-13	-16	2	1	1
01015	0.86	0.79	0.96	1.54	0.98	-100	-149	28	20	0
01017	0.94	0.91	0.95	1.97	0.74	-39	-36	-8	4	0
01019	0.85	0.79	1.44	1.62	2.67	-56	-61	1	3	1
01021	1.04	0.93	1.23	1.8	1.37	2	-38	9	29	2
01023	0.83	0.86	0.78	1.7	0.38	-38	-20	-19	0	0
01025	0.84	0.84	0.84	0.81	0.91	-60	-38	-21	0	0
01027	0.9	0.84	1.06	1.4	0.92	-32	-32	-2	3	0
01029	1.0	0.96	1.31	2.1	2.6	-14	-16	-1	3	1
01031	0.97	0.91	1.02	1.44	0.67	-24	-47	4	22	-2
01033	0.93	0.88	0.99	1.78	0.77	-78	-85	-4	12	-1
01035	0.97	0.9	1.02	1.12	1.04	-19	-17	-2	0	0
01037	0.81	0.79	0.78	1.35	2.01	-29	-15	-15	1	1
01039	0.94	0.94	0.94	1.22	0.84	-42	-45	3	0	0
01041	0.97	0.94	0.97	2.3	0.97	-22	-23	-2	2	1
01043	0.98	0.93	1.43	1.65	1.55	-76	-110	6	26	3
01045	1.01	1.0	0.94	1.38	0.97	2	-16	2	16	0
01047	1.09	0.91	1.13	2.49	1.33	4	-26	26	3	1
01049	1.02	0.84	1.57	1.81	1.04	-20	-124	7	94	3
01051	0.82	0.81	0.8	0.97	0.96	-163	-152	-13	3	-1
01053	1.02	0.99	1.04	1.33	0.85	-8	-22	9	6	0
01055	0.86	0.81	0.89	1.79	0.81	-138	-168	6	25	0
01057	0.87	0.82	1.18	0.96	0.62	-34	-31	-3	0	0
01059	1.05	0.86	1.15	1.91	0.54	2	-49	1	49	1
01061	0.92	0.88	1.04	1.4	1.07	-36	-42	1	5	0
01063	1.0	0.77	1.04	0.18	1.6	-19	-5	-13	0	0
01065	0.97	1.01	0.94	1.87	0.88	-30	-14	-16	1	0
01067	0.89	0.83	0.92	2.04	1.26	-30	-24	-9	3	0
01069	0.96	0.87	1.07	1.6	0.73	-71	-125	35	20	-1
01071	0.89	0.86	1.24	1.19	0.99	-81	-88	-1	7	0
01073	0.93	0.83	0.96	1.77	0.85	-250	-519	34	221	13
01075	0.88	0.89	0.83	0.53	1.44	-25	-21	-4	0	0
01077	0.82	0.78	0.97	1.46	0.59	-149	-166	1	15	2
01079	0.93	0.93	0.96	0.87	1.48	-79	-64	-11	-4	0
01081	0.71	0.63	0.87	1.23	0.7	-15	-66	9	34	7
01083	0.99	0.93	1.0	1.66	0.94	-114	-138	-15	35	3
01085	1.03	0.75	1.09	0.75	2.23	-12	-8	-4	0	0
01087	0.69	0.96	0.63	1.88	0.28	-29	-6	-25	3	0
01089	0.87	0.82	0.86	1.5	0.75	-728	-759	-32	87	-24
01091	1.03	1.07	0.94	2.72	1.17	-6	-12	-3	9	0
01093	0.88	0.85	1.22	1.57	0.92	-61	-67	1	5	0
01095	1.05	0.85	1.53	2.15	1.17	-10	-159	11	135	2
01097	0.97	0.89	1.06	1.28	0.87	-126	-299	128	37	8
01099	0.92	0.89	0.95	0.89	0.94	-34	-30	-5	1	-1
01101	0.91	0.8	0.89	2.33	1.08	-35	-173	42	88	8
01103	0.95	0.84	0.99	1.79	1.1	-190	-274	-1	83	1
01105	0.95	0.4	1.15	1.43	0.89	0	-8	7	1	0
01107	0.97	0.93	0.96	2.72	0.9	-36	-26	-13	4	0
01109	0.72	0.7	0.73	1.16	0.39	-3	-7	2	1	1
01111	0.88	0.79	0.99	2.14	0.82	-39	-43	-3	7	0
01113	1.09	1.19	0.96	1.45	0.85	52	42	-11	19	2
01115	0.96	0.95	0.91	1.67	0.94	-65	-75	-2	10	1
01117	0.9	0.85	0.75	1.77	1.06	-243	-323	-15	90	5
01119	0.66	0.43	0.74	0.63	0.43	-18	-5	-14	0	0
01121	0.88	0.86	0.87	1.87	0.41	-103	-102	-10	12	-3
01123	0.93	0.83	0.99	2.55	1.28	-66	-75	-1	10	1
01125	0.74	0.65	0.83	1.77	0.5	8	-95	34	64	4
01127	0.99	0.92	1.35	2.51	1.39	-56	-82	8	16	2
01129	0.87	0.83	0.88	1.1	0.66	-33	-27	-8	2	0
01131	0.87	0.66	0.91	2.98	1.04	-15	-9	-7	0	0
01133	0.86	0.79	1.35	2.53	1.44	-61	-70	1	8	0
02013	0.61	0.95	0.65	1.07	0.11	-15	-1	0	-3	-10
02016	0.66	0.88	0.67	1.0	0.33	-16	-4	0	-2	-10
02020	1.0	0.85	1.34	1.31	1.05	116	-200	80	185	51
02050	1.67	1.04	3.87	1.76	1.2	98	3	2	91	1
02060	0.65	0.35	0.0	1.07	0.55	-3	-2	0	-1	0
02068	0.91	1.06	0.0	0.07	0.22	-4	-1	0	-2	-1
02070	1.5	0.99	4.39	1.61	2.02	14	0	1	14	0
02090	1.07	1.0	1.31	1.35	0.88	162	57	33	75	-2
02100	0.82	0.79	0.9	0.87	1.85	-9	-7	0	-1	0
02105	0.9	0.8	1.2	1.0	0.86	-6	-4	0	-2	0
02110	0.89	0.75	1.34	1.28	0.95	-42	-60	1	19	-2
02122	1.11	1.08	1.73	1.33	0.79	-24	-42	3	18	-2
02130	1.1	0.93	2.5	1.57	0.92	1	-13	2	14	-2
02150	1.21	1.12	1.59	1.6	1.03	16	5	1	15	-5
02158	1.96	1.45	12.91	1.97	2.01	55	2	1	53	0
02164	1.52	0.85	4.46	1.73	2.73	5	0	0	5	0
02170	1.12	1.06	1.53	1.43	1.07	33	-15	4	41	3
02180	1.7	0.93	3.09	1.91	1.1	55	-3	0	58	-1
02185	1.65	0.82	1.61	1.98	0.97	32	-6	0	37	1
02188	1.81	1.1	2.11	1.92	1.69	47	4	0	44	-1
02195	1.19	1.02	1.34	1.92	0.8	1	-2	0	3	0
02198	1.33	1.07	3.04	1.52	1.34	1	-6	1	7	0
