GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	0.85	0.85	0.85	0.94	0.87	-88	-73	-16	4	-2
01003	0.89	0.85	1.04	1.31	0.63	-345	-383	16	26	-4
01005	1.0	0.87	1.02	2.03	0.59	-11	-18	2	6	0
01007	0.98	0.97	1.02	0.95	1.53	-17	-19	-1	2	0
01009	1.0	0.94	1.38	1.45	1.39	-39	-64	3	22	1
01011	1.12	0.91	1.04	1.9	1.28	14	-2	8	7	1
01013	0.89	0.89	0.89	1.41	0.66	-20	-20	0	1	0
01015	0.89	0.83	0.95	1.39	0.97	-47	-97	23	22	5
01017	0.92	0.85	0.9	2.94	0.86	-43	-40	-11	8	0
01019	0.9	0.86	1.46	1.08	2.7	-46	-51	2	1	2
01021	0.97	0.9	1.05	1.65	1.09	-13	-29	0	16	-1
01023	0.92	0.8	1.02	3.18	0.53	-17	-17	-1	1	0
01025	0.97	0.97	0.96	1.52	0.55	-19	-10	-10	2	-1
01027	0.87	0.82	0.9	1.63	0.82	-22	-20	-4	2	0
01029	1.04	1.0	1.04	2.14	0.56	-18	-20	-1	3	0
01031	0.94	0.83	1.06	1.43	0.94	-50	-70	4	16	0
01033	0.93	0.92	0.93	1.23	0.48	-50	-49	-3	4	-2
01035	0.99	1.04	0.95	1.33	0.73	-11	-5	-5	0	0
01037	0.85	0.77	0.97	1.3	0.8	-37	-22	-14	0	-1
01039	1.04	0.98	1.26	1.59	1.12	-6	-19	8	4	0
01041	0.94	0.92	0.87	2.59	0.44	-18	-15	-7	3	0
01043	1.02	0.95	1.74	1.59	2.81	-17	-64	10	23	14
01045	1.03	1.03	0.94	1.29	1.05	16	-3	2	16	1
01047	0.94	0.93	0.93	1.8	0.87	-19	-12	-8	1	0
01049	0.96	0.82	1.48	1.53	0.85	-64	-125	6	57	-2
01051	0.85	0.82	0.9	1.07	1.01	-123	-115	-17	9	0
01053	1.06	0.99	1.08	1.61	1.29	0	-19	10	8	0
01055	0.92	0.84	1.04	1.79	0.92	-145	-181	7	30	-1
01057	0.99	0.85	1.24	1.38	33.0	-17	-28	4	1	7
01059	1.14	0.95	1.49	1.88	0.81	1	-35	-1	37	0
01061	0.95	0.93	1.0	1.15	0.87	-33	-33	1	0	0
01063	0.97	1.25	0.89	2.4	8.31	1	-1	0	1	1
01065	1.04	0.91	1.07	3.1	1.58	11	-4	12	2	0
01067	0.87	0.88	0.83	0.9	1.7	-30	-20	-12	1	1
01069	0.94	0.89	1.0	1.33	0.92	-63	-105	25	14	3
01071	0.88	0.83	1.85	1.13	0.69	-73	-83	10	2	-2
01073	0.92	0.85	0.91	1.94	0.79	-8	-201	21	194	-22
01075	0.99	0.94	1.2	1.73	1.66	-13	-15	0	1	0
01077	0.79	0.75	0.9	1.31	0.68	-113	-135	12	11	-2
01079	0.9	0.91	0.92	0.79	1.81	-53	-46	-5	-3	1
01081	0.74	0.69	0.79	1.15	0.85	-90	-62	-36	22	-14
01083	0.86	0.82	0.89	1.31	0.63	-154	-146	-24	28	-12
01085	0.98	0.96	0.97	1.59	0.0	-5	-3	-1	0	0
01087	0.67	0.94	0.62	0.88	0.81	-22	-2	-20	1	-1
01089	0.87	0.85	0.84	1.33	0.79	-270	-334	19	71	-26
01091	1.01	1.03	0.97	1.38	1.75	-13	0	-14	1	0
01093	0.88	0.83	1.44	1.59	1.26	-47	-50	1	1	1
01095	1.21	0.92	2.37	2.53	1.19	62	-110	26	150	-5
01097	0.97	0.92	1.02	1.08	1.08	110	-152	216	39	7
01099	0.82	0.76	0.86	1.25	0.7	-41	-26	-15	1	0
01101	0.96	0.88	0.92	2.81	0.99	55	-91	56	95	-6
01103	1.0	0.87	1.11	1.69	1.26	-44	-132	16	71	2
01105	0.8	0.72	0.8	1.47	1.43	-8	-3	-6	1	0
01107	0.81	0.79	0.86	0.67	0.58	-40	-25	-10	-4	0
01109	0.64	0.59	0.69	0.85	0.62	-9	-8	-2	1	1
01111	0.97	0.93	1.02	1.36	1.25	-24	-28	0	3	0
01113	1.04	1.05	0.93	1.9	1.18	38	14	-8	28	3
01115	0.94	0.93	0.98	1.2	1.05	-96	-87	-8	1	-2
01117	0.86	0.81	0.8	1.5	0.96	-394	-397	-51	57	-4
01119	0.76	0.75	0.78	1.56	0.39	-3	4	-9	1	1
01121	0.8	0.79	0.79	1.36	0.5	-152	-111	-37	5	-9
01123	0.93	0.89	0.92	2.3	0.81	-48	-51	-3	6	0
01125	0.76	0.67	0.8	1.85	0.66	-65	-136	-6	72	4
01127	0.99	0.92	1.18	2.63	1.18	-28	-56	9	19	1
01129	1.04	1.03	1.1	1.06	0.49	-11	-14	0	3	-1
01131	1.04	0.81	1.08	2.93	1.03	-1	-4	3	1	0
01133	0.97	0.89	3.91	1.6	2.43	-25	-34	4	4	0
02013	0.4	0.84	1.23	0.51	0.18	-18	0	1	-5	-14
02016	0.65	1.03	1.25	0.84	0.39	-16	-1	0	-3	-11
02020	0.97	0.87	1.27	1.13	0.95	291	-27	91	185	42
02050	1.61	1.13	2.84	1.67	1.01	108	2	2	104	0
02060	1.39	0.87	0.71	2.01	1.11	2	-1	0	3	0
02068	0.67	0.76	0.0	0.33	0.19	-7	-5	0	-1	-1
02070	1.62	0.89	2.28	1.8	1.16	31	0	0	31	0
02090	1.05	0.98	1.28	1.21	1.1	228	96	36	79	17
02100	0.82	0.8	0.5	0.96	0.59	-2	-3	0	0	0
02105	1.05	1.05	0.48	1.08	0.8	0	-1	0	2	0
02110	0.83	0.74	1.38	1.15	0.61	-24	-39	2	21	-7
02122	1.03	0.98	1.71	1.27	1.07	10	-12	2	21	-1
02130	0.88	0.78	1.96	1.18	0.69	-4	-11	1	11	-4
02150	1.08	1.07	2.33	1.38	0.77	25	15	2	11	-3
02158	2.15	2.9	35.07	2.08	2.85	76	4	2	70	0
02164	1.35	1.23	1.79	1.44	0.61	4	2	0	6	-4
02170	1.04	1.01	1.62	1.24	0.86	72	18	9	48	-3
02180	1.53	1.26	2.5	1.59	1.32	48	1	1	44	1
02185	1.45	1.06	1.77	1.62	1.04	33	-3	1	34	1
02188	1.75	1.29	2.29	1.8	1.54	51	3	1	47	0
02195	0.95	0.96	0.25	1.13	0.59	0	0	0	1	0
02198	0.86	0.82	0.53	0.92	0.75	-3	-3	0	0	0
02220	0.7	0.67	0.95	0.78	0.68	-10	-10	0	1	-1
02230	0.61	0.67	0.56	0.24	0.27	-2	-1	0	-1	0
02240	1.46	1.28	2.61	2.18	0.67	20	9	2	10	0
02261	1.18	1.11	0.49	1.43	1.19	14	4	0	9	1
02275	0.91	1.04	1.93	0.7	0.15	-4	-2	0	-1	-1
02282	1.25	0.65	6.15	1.87	0.0	2	0	0	2	0
02290	1.44	1.28	3.36	1.5	0.0	19	2	1	17	-1
04001	1.12	1.05	2.18	1.13	0.68	93	-2	5	91	-1
04003	1.06	0.96	1.08	1.18	0.98	100	-19	18	100	1
04005	0.65	0.49	0.62	0.88	0.45	35	-74	6	100	3
04007	1.1	0.84	1.75	1.32	1.94	30	-44	1	68	4
04009	1.16	0.97	1.42	1.36	1.35	72	5	3	63	1
04011	1.31	1.16	1.95	1.4	1.11	27	4	2	21	0
04012	1.08	0.96	1.83	1.11	1.0	12	-13	2	22	1
04013	0.9	0.74	1.01	1.11	0.71	-1877	-5055	471	3263	-556
04015	0.94	0.87	1.34	1.11	0.78	-134	-199	12	62	-8
04017	1.19	0.98	1.82	1.31	0.93	153	-21	8	168	-2
04019	0.84	0.68	1.04	0.99	0.58	-207	-849	123	601	-82
04021	0.97	0.87	1.07	1.1	0.78	28	-288	32	307	-24
04023	1.16	1.18	1.37	1.15	0.85	34	2	2	30	-1
04025	0.88	0.81	1.11	1.12	0.69	-240	-297	4	68	-15
04027	1.18	1.01	1.29	1.23	1.0	386	8	21	359	-1
05001	1.08	0.98	1.16	2.48	0.69	5	-7	8	5	0
05003	0.94	0.9	1.06	0.99	0.0	-29	-26	-2	-1	-1
05005	0.92	0.89	1.83	1.24	1.21	-37	-40	1	2	0
05007	0.98	0.89	1.32	1.22	1.08	68	-164	31	146	55
05009	1.04	1.03	2.03	1.12	0.85	-9	-12	2	2	-1
05011	0.98	0.83	1.01	1.38	0.71	-6	-7	-4	4	0
05013	0.86	0.82	0.84	1.88	0.0	-7	-9	0	2	0
05015	1.02	0.89	1.86	1.36	1.36	-9	-31	1	17	5
05017	1.08	0.65	1.35	1.02	0.0	-8	-13	6	1	-1
05019	0.71	0.62	0.8	1.42	1.19	-9	-13	3	2	0
05021	1.03	1.01	2.47	1.41	0.25	-6	-7	2	0	-1
05023	0.89	0.89	1.96	0.84	0.23	-26	-20	1	-2	-5
05025	0.9	0.87	1.11	0.58	0.92	-13	-11	-1	-1	0
05027	0.81	0.75	0.84	1.67	0.78	-6	-10	-1	4	0
05029	0.99	0.98	1.1	1.0	0.9	-9	-9	1	-1	0
05031	0.94	0.84	1.14	1.5	0.9	89	-52	105	34	1
05033	1.03	0.99	2.33	1.09	0.85	-7	-29	16	6	0
05035	1.14	0.98	1.22	1.89	0.74	60	-13	68	8	-2
05037	1.05	1.03	1.09	1.19	1.03	1	-5	6	1	-1
05039	1.0	0.92	1.08	1.05	1.16	-2	-7	5	0	0
05041	0.99	0.88	1.04	1.14	1.52	3	-4	6	0	1
05043	0.83	0.77	0.93	1.12	0.83	-5	-9	2	2	0
05045	0.77	0.73	0.79	1.4	0.64	-30	-87	25	29	3
05047	0.92	0.88	2.53	1.3	0.71	-19	-21	2	1	0
05049	1.13	1.1	3.14	1.12	1.44	-4	-8	2	1	0
05051	0.93	0.82	1.21	1.69	0.81	-98	-170	33	41	-1
05053	0.91	0.87	1.46	1.58	0.54	-17	-24	3	4	0
05055	1.0	0.93	2.46	1.4	1.86	-14	-38	14	8	3
05057	1.08	0.85	1.18	1.62	0.79	8	-17	10	15	0
05059	0.83	0.77	1.08	1.36	0.84	-49	-56	3	3	1
05061	1.07	0.95	1.26	1.26	0.35	6	-8	8	7	-1
05063	1.07	0.99	1.73	1.75	0.96	7	-12	7	12	0
05065	0.9	0.85	3.7	1.31	0.52	-19	-24	1	3	0
05067	0.89	0.85	0.95	1.37	0.7	-15	-19	1	3	0
05069	0.94	0.88	0.95	1.47	0.77	-7	-39	30	3	0
05071	1.06	1.0	1.64	1.23	1.15	16	-5	5	13	3
05073	0.9	0.79	0.99	1.67	1.44	-7	-6	-1	0	0
05075	1.04	1.0	2.07	2.01	0.56	0	-6	1	5	0
05077	1.18	0.97	1.35	0.74	0.0	3	-4	7	0	0
05079	0.94	0.9	0.97	1.01	7.86	-2	-2	-1	-1	1
05081	1.01	0.95	1.0	1.89	1.19	-11	-11	-3	4	0
05083	1.06	1.04	2.43	1.06	0.74	-16	-18	3	4	-3
05085	0.94	0.9	1.22	1.29	0.83	-30	-55	16	10	-1
05087	1.17	1.14	1.67	1.28	1.71	7	1	2	4	1
05089	1.1	1.06	4.34	1.27	1.01	-12	-16	3	2	-1
05091	1.02	0.97	1.05	1.66	0.93	-3	-30	19	8	0
05093	1.12	0.96	1.26	1.65	0.77	46	-7	47	7	-1
05095	1.2	1.14	1.29	0.98	1.09	6	1	4	0	0
05097	1.13	1.11	0.56	1.65	1.0	-7	-8	0	2	-1
05099	1.14	1.06	1.2	1.67	0.95	-1	-6	2	3	0
05101	0.99	0.96	3.14	1.0	1.25	-3	-4	0	1	0
05103	1.01	0.89	1.11	1.82	0.91	-10	-20	7	4	-1
05105	1.09	1.11	0.94	0.87	0.26	-6	-7	0	1	0
05107	1.2	1.13	1.22	1.68	1.74	32	4	25	3	0
05109	0.94	0.87	1.5	1.54	1.01	-16	-17	0	2	-1
05111	1.08	1.02	1.46	1.5	1.2	-2	-14	9	3	0
05113	1.0	0.98	2.47	1.22	0.57	-16	-21	1	4	0
05115	0.92	0.85	1.24	1.35	0.68	8	-23	8	27	-4
05117	0.85	0.77	1.19	1.28	3.6	-15	-16	1	0	0
05119	0.93	0.82	0.97	1.47	0.75	-34	-296	134	137	-8
05121	1.11	1.06	2.31	1.75	1.75	12	2	3	4	3
05123	1.22	1.14	1.27	1.23	1.23	31	0	30	1	0
05125	0.89	0.84	0.96	1.38	0.76	-109	-158	19	29	0
05127	1.18	1.1	3.69	1.62	1.0	5	-2	1	6	0
05129	1.15	1.15	2.28	0.85	1.66	2	0	1	1	0
05131	1.01	0.93	1.34	1.27	0.71	31	-49	31	63	-14
05133	1.16	0.84	2.6	1.41	1.8	6	-20	8	15	3
05135	1.09	1.07	1.98	1.14	0.0	-8	-9	2	0	-1
05137	0.98	0.99	1.92	0.83	0.0	2	1	0	1	-1
05139	1.1	1.04	1.13	1.8	0.64	1	-18	11	10	-2
05141	0.92	0.89	2.34	1.24	0.37	-17	-20	2	1	0
05143	0.88	0.75	1.25	1.2	1.06	219	-48	61	159	48
05145	0.86	0.82	1.1	1.16	0.85	-54	-79	13	10	2
05147	0.94	0.89	0.94	2.93	0.43	-11	-10	-2	2	-1
05149	1.04	0.9	0.96	1.45	0.99	-16	-31	0	15	-1
06001	0.76	0.74	0.77	0.97	0.65	-2163	-839	-243	273	-1354
06003	0.85	0.63	0.75	1.09	0.0	-2	-3	0	1	0
06005	0.97	0.96	1.45	0.98	0.86	-19	-24	1	6	-3
06007	0.79	0.75	1.12	0.89	0.73	56	-60	21	82	13
06009	0.94	0.94	1.55	0.9	0.89	-47	-46	2	0	-2
06011	1.08	0.81	0.93	1.21	0.77	27	-6	1	33	-1
06013	0.85	0.83	0.84	1.03	0.67	-1776	-1025	-97	291	-945
06015	1.01	0.88	1.68	1.24	1.08	10	-11	2	18	2
06017	0.86	0.82	1.21	1.01	0.74	-292	-259	3	16	-53
06019	1.09	0.86	1.04	1.25	0.86	1872	-199	144	1796	131
06021	1.09	0.89	1.1	1.26	1.35	30	-9	1	35	4
06023	0.73	0.66	0.89	0.95	0.76	-48	-137	13	68	7
06025	1.31	1.03	1.03	1.35	0.89	479	3	6	475	-5
06027	1.07	0.94	1.54	1.22	0.85	9	-5	2	11	0
06029	1.13	0.92	1.12	1.28	0.78	1779	-54	172	1756	-95
06031	1.2	0.99	1.26	1.33	0.94	437	48	40	344	4
06033	1.12	0.9	1.66	1.51	1.45	13	-47	6	54	-1
06035	1.05	0.95	1.28	1.28	1.48	2	-13	2	10	3
06037	0.79	0.67	0.72	0.92	0.64	-11175	-5105	-1306	369	-5134
06039	1.03	0.7	0.55	1.24	0.85	124	-139	-39	309	-7
06041	0.87	0.76	0.92	1.3	0.72	-796	-735	-9	40	-93
06043	0.89	0.89	0.79	0.9	0.94	-8	-10	1	2	0
06045	1.02	0.84	1.39	1.32	0.87	-15	-89	3	79	-8
06047	1.11	0.86	1.02	1.25	0.81	472	-78	23	513	13
06049	1.02	1.05	0.57	0.95	1.32	3	4	0	-2	0
06051	0.66	0.5	0.78	0.98	0.43	-23	-16	0	-8	0
06053	1.05	0.7	0.88	1.25	0.6	476	-195	20	771	-120
06055	0.76	0.63	0.75	0.98	0.51	-255	-210	-3	29	-70
06057	0.83	0.79	1.09	1.04	0.82	-109	-122	3	12	-1
