GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	0.84	0.82	0.89	0.82	0.84	-95	-89	-5	1	-2
01003	0.94	0.89	1.02	1.62	0.66	-203	-278	23	56	-5
01005	1.1	0.92	1.09	2.97	0.54	10	-18	12	15	0
01007	0.97	0.95	0.98	1.29	0.82	-22	-25	2	2	-1
01009	0.99	0.91	2.09	1.48	1.21	-49	-81	5	27	1
01011	1.06	1.08	0.95	2.08	1.09	8	0	0	8	1
01013	0.9	0.96	0.81	3.09	0.85	-10	-10	-5	4	1
01015	0.87	0.81	0.93	1.42	0.95	-88	-133	22	22	1
01017	0.96	0.97	0.87	3.0	1.13	-25	-25	-10	8	2
01019	0.84	0.8	1.19	1.5	2.68	-51	-55	2	1	0
01021	1.0	0.94	1.05	1.58	0.67	-12	-34	4	18	0
01023	0.93	0.88	0.92	6.19	0.0	-21	-14	-10	3	0
01025	0.9	0.93	0.87	1.02	0.3	-26	-13	-14	1	0
01027	0.87	0.83	0.96	1.34	1.14	-22	-21	-3	2	0
01029	0.95	0.92	1.2	1.73	0.0	-17	-20	1	2	0
01031	0.92	0.86	0.99	1.36	0.81	-45	-68	4	18	0
01033	0.92	0.91	0.91	1.46	0.67	-58	-56	-6	6	-2
01035	1.12	1.05	1.12	3.07	0.53	0	-3	1	3	-1
01037	0.82	0.79	0.85	0.88	1.25	-29	-16	-12	-1	0
01039	1.0	0.98	1.13	1.11	0.86	-16	-25	9	0	-1
01041	0.89	0.89	0.82	1.99	0.44	-11	-8	-4	2	-1
01043	1.0	0.93	1.8	1.86	2.49	-12	-59	7	32	8
01045	1.02	0.98	1.01	1.45	0.85	32	-2	12	21	2
01047	0.97	0.84	1.0	2.31	0.82	11	-18	26	3	-1
01049	0.95	0.8	1.08	1.66	0.45	-58	-127	1	72	-5
01051	0.8	0.79	0.76	1.04	1.21	-131	-119	-23	10	2
01053	0.99	0.96	0.94	1.62	1.28	0	-8	2	7	-1
01055	0.85	0.8	0.91	1.7	0.59	-145	-155	-10	24	-4
01057	0.97	0.88	1.23	1.8	9.93	-16	-20	0	2	2
01059	1.05	0.89	0.99	1.8	0.51	5	-30	-5	39	1
01061	0.95	0.95	0.91	1.14	0.68	-35	-36	0	2	-1
01063	1.06	0.94	1.05	2.09	4.5	-3	-4	0	0	0
01065	0.95	0.99	0.89	2.5	1.5	-4	-7	0	2	0
01067	0.83	0.82	0.82	1.43	0.0	-28	-24	-5	1	-1
01069	0.89	0.85	0.93	1.45	0.77	-65	-92	12	17	-2
01071	0.84	0.8	1.43	1.26	0.41	-76	-84	3	8	-3
01073	0.92	0.86	0.91	1.9	0.81	-15	-279	50	213	2
01075	0.95	0.94	0.97	1.37	1.6	-11	-12	-1	1	0
01077	0.76	0.73	0.82	1.46	0.42	-139	-151	-2	15	-1
01079	0.9	0.92	0.89	0.74	1.35	-58	-49	-8	-1	0
01081	0.72	0.66	0.79	1.26	0.81	-43	-64	-8	30	-1
01083	0.91	0.87	0.96	1.3	0.7	-126	-137	-16	28	-2
01085	1.02	0.95	1.04	0.85	0.92	-10	-8	-2	0	0
01087	0.71	0.98	0.65	2.25	1.15	-12	-4	-10	2	0
01089	0.86	0.85	0.82	1.36	0.66	-420	-469	3	75	-29
01091	1.0	1.12	0.88	1.76	1.56	-11	-4	-11	3	0
