GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	0.83	0.83	0.86	1.03	0.57	-103	-92	-10	2	-3
01003	0.93	0.87	1.08	1.64	0.54	-234	-298	17	54	-7
01005	1.15	1.0	1.17	2.4	0.0	4	-15	8	11	-1
01007	0.93	0.95	0.83	1.16	0.88	-26	-21	-5	1	-1
01009	1.0	0.9	2.02	1.73	0.99	-43	-84	6	34	1
01011	1.01	1.1	0.92	1.81	0.57	0	-2	-6	8	0
01013	0.92	0.9	0.92	2.01	0.89	-8	-12	2	1	1
01015	0.86	0.78	1.0	1.34	0.84	-104	-152	36	14	-2
01017	0.98	0.97	0.91	2.99	0.69	-27	-24	-13	10	0
01019	0.84	0.8	1.07	1.43	2.53	-55	-56	-1	2	1
01021	0.99	0.89	1.12	1.77	1.35	-18	-51	6	25	2
01023	0.82	0.77	0.86	3.32	0.0	-33	-20	-14	1	0
01025	0.84	0.82	0.86	0.87	0.39	-51	-31	-20	0	0
01027	0.88	0.8	1.08	1.73	0.53	-29	-30	-3	4	0
01029	0.96	0.94	1.09	1.62	0.36	-14	-15	0	2	0
01031	0.94	0.87	1.05	1.42	0.64	-42	-69	8	20	-2
01033	0.9	0.86	1.02	1.51	0.64	-72	-78	-3	10	-2
01035	1.0	0.94	1.03	1.86	0.24	-13	-11	-3	2	-1
01037	0.69	0.72	0.66	0.62	0.39	-33	-15	-17	-1	0
01039	0.99	0.97	1.05	1.17	0.82	-32	-40	7	1	0
01041	0.92	0.92	0.81	2.69	0.6	-24	-23	-4	3	0
01043	0.97	0.91	1.58	1.73	1.55	-44	-83	6	29	3
01045	0.99	0.96	0.96	1.38	0.81	1	-20	5	16	1
01047	0.99	0.86	1.02	2.01	1.11	-1	-22	18	3	0
01049	1.0	0.83	1.28	1.79	0.79	-30	-123	4	88	0
01051	0.8	0.79	0.79	0.88	1.18	-151	-139	-15	3	1
01053	1.05	1.02	1.05	1.3	1.26	11	-8	12	6	0
01055	0.85	0.81	0.86	1.84	0.67	-140	-157	-4	24	-3
01057	0.9	0.84	1.32	1.53	0.56	-25	-25	0	1	0
01059	1.04	0.86	1.01	1.91	0.35	0	-46	1	44	1
01061	0.93	0.88	1.04	1.57	1.24	-33	-41	2	6	0
01063	0.98	0.95	0.99	0.84	1.24	-12	-2	-9	0	0
01065	0.97	1.0	0.95	1.94	1.11	-21	-14	-8	1	0
01067	0.84	0.82	0.82	1.9	0.15	-30	-22	-8	2	-1
01069	0.93	0.85	1.03	1.56	0.65	-64	-113	34	18	-3
01071	0.86	0.83	1.33	0.98	0.93	-82	-87	0	4	0
01073	0.92	0.83	0.93	1.81	0.87	-161	-427	38	214	15
01075	0.89	0.88	0.88	1.12	2.53	-20	-19	-1	1	0
01077	0.79	0.76	0.84	1.57	0.65	-148	-162	-4	16	2
01079	0.88	0.9	0.81	0.75	1.92	-79	-64	-11	-5	1
01081	0.71	0.63	0.86	1.31	0.73	2	-60	20	35	8
01083	0.95	0.89	0.98	1.49	0.88	-129	-148	-15	32	2
01085	1.04	0.84	1.08	1.07	1.71	-9	-8	-1	0	0
01087	0.66	0.96	0.61	0.97	1.04	-30	-5	-25	0	0
01089	0.85	0.81	0.84	1.44	0.69	-642	-670	-24	83	-31
01091	1.02	1.1	0.89	2.68	1.21	-9	-9	-9	9	0
01093	0.87	0.83	1.37	1.67	1.11	-53	-61	1	6	1
01095	1.05	0.83	1.68	2.26	0.96	1	-155	12	144	1
01097	0.96	0.88	1.06	1.22	0.86	-57	-247	158	27	5
01099	0.92	0.89	0.93	1.24	1.46	-37	-27	-11	2	0
01101	0.93	0.83	0.89	2.69	1.14	56	-121	68	95	13
01103	0.92	0.81	0.94	1.73	1.17	-195	-268	-5	76	2
01105	0.95	0.5	1.09	2.53	1.2	4	-6	8	2	0
01107	0.95	0.86	1.0	1.93	0.95	-37	-31	-9	2	1
01109	0.68	0.67	0.69	0.88	0.6	2	-2	2	0	1
01111	0.9	0.8	0.94	2.73	1.57	-35	-42	-2	9	0
01113	1.03	1.12	0.89	1.45	0.97	36	41	-27	18	4
01115	0.95	0.94	0.9	1.56	0.84	-61	-75	2	11	1
01117	0.9	0.86	0.76	1.77	0.99	-221	-290	-22	91	1
01119	0.67	0.47	0.75	0.27	0.11	-15	-4	-11	0	0
01121	0.83	0.8	0.82	1.79	0.41	-117	-109	-18	13	-2
01123	0.93	0.81	1.0	2.79	1.58	-63	-73	-2	11	2
01125	0.75	0.66	0.82	1.84	0.51	36	-82	43	69	5
01127	0.97	0.91	1.29	2.29	1.16	-57	-81	8	16	1
01129	0.79	0.72	0.89	0.97	0.61	-41	-33	-6	-2	0
01131	0.92	0.81	0.93	4.8	0.0	-8	-7	-3	1	0
01133	0.86	0.8	1.78	2.32	0.9	-55	-63	1	7	0
02013	0.52	0.99	0.63	0.89	0.06	-15	0	0	-4	-11
02016	0.59	0.83	0.63	0.91	0.28	-17	-3	0	-2	-12
02020	1.0	0.86	1.37	1.33	1.02	245	-114	94	212	53
02050	1.71	1.19	3.77	1.79	0.82	109	7	3	98	1
02060	0.92	0.68	2.46	1.29	0.0	-1	-1	0	0	0
02068	0.85	0.95	0.0	0.58	0.0	-4	-2	0	-1	-1
02070	1.61	1.11	3.13	1.71	2.3	22	2	1	19	0
02090	1.08	1.01	1.42	1.35	0.85	202	84	39	79	1
02100	0.68	0.65	0.0	0.87	0.63	-10	-8	0	-1	0
02105	0.89	0.83	0.0	1.01	0.0	-5	-3	0	-1	0
02110	0.88	0.73	1.2	1.36	0.86	-36	-56	0	25	-5
02122	1.09	1.06	1.69	1.28	0.94	-9	-27	3	15	0
02130	1.11	0.95	2.18	1.61	0.93	1	-12	2	13	-2
02150	1.18	1.12	1.04	1.55	0.96	19	10	1	15	-7
02158	2.09	1.87	13.53	2.08	1.88	63	2	1	60	0
02164	1.54	0.89	1.93	1.82	1.1	7	1	0	6	0
02170	1.14	1.08	1.46	1.49	1.08	73	13	5	50	4
02180	1.63	0.96	2.45	1.8	1.22	54	-2	1	55	0
02185	1.67	0.74	1.9	1.98	1.25	36	-6	1	40	2
02188	1.78	0.99	1.72	1.91	1.37	47	2	0	45	-1
02195	1.2	0.95	1.22	2.15	1.0	4	-1	0	5	0
02198	1.19	0.96	5.02	1.33	1.47	0	-5	1	3	0
02220	1.02	0.9	1.31	1.34	0.93	7	-2	1	8	0
02230	0.53	0.31	0.76	2.59	2.57	-3	-3	0	0	0
02240	1.34	1.34	2.32	1.35	0.92	12	6	1	5	-1
02261	1.25	1.14	3.99	1.51	1.2	6	-6	2	11	1
02275	1.3	0.96	8.47	2.16	1.12	1	-3	1	3	0
02282	1.18	1.23	4.59	1.26	0.0	0	0	0	1	-1
02290	1.46	1.21	2.27	1.53	0.26	15	1	0	14	0
04001	1.19	0.95	2.68	1.23	0.95	80	-19	5	93	1
04003	1.11	0.99	1.16	1.26	0.9	59	-67	14	117	-5
04005	0.78	0.58	0.89	1.09	0.44	57	-97	9	147	-2
04007	1.21	0.89	2.22	1.55	1.21	-3	-68	3	62	-1
04009	1.26	1.1	2.02	1.41	1.84	103	30	4	67	3
04011	1.13	1.14	1.74	1.1	0.67	13	3	0	9	0
04012	1.03	0.92	1.33	1.09	1.19	-12	-18	1	5	0
04013	0.98	0.79	1.18	1.25	0.84	948	-4597	692	4816	37
04015	0.99	0.92	1.75	1.19	0.89	-218	-286	10	64	-6
04017	1.29	1.0	2.33	1.44	1.55	166	-38	11	192	1
04019	0.91	0.74	1.28	1.08	0.72	71	-938	189	831	-11
04021	1.13	1.0	1.21	1.3	0.94	481	-22	44	456	3
04023	1.16	0.87	1.91	1.18	0.9	28	-14	3	40	-2
04025	0.93	0.81	1.23	1.34	0.71	-292	-388	5	99	-7
04027	1.19	1.01	1.34	1.25	0.82	330	-10	15	331	-6
05001	1.1	1.04	1.18	2.13	0.51	3	-9	8	5	0
05003	0.99	0.88	1.04	2.11	0.11	-11	-16	-4	10	-1
05005	0.89	0.89	2.32	0.88	0.88	-63	-62	1	-1	0
05007	1.06	0.95	1.44	1.4	1.08	183	-103	31	205	50
05009	0.96	0.95	2.59	1.2	0.31	-38	-41	3	1	-2
05011	1.06	0.94	0.98	1.62	0.0	-4	-8	-8	12	-1
05013	0.94	0.84	1.19	1.39	1.18	-11	-9	-2	0	0
05015	1.06	0.93	2.83	1.49	1.2	-15	-40	2	22	1
05017	1.21	1.14	1.22	1.61	0.68	6	-3	4	5	0
05019	0.63	0.53	0.81	1.13	0.54	-22	-25	0	3	0
05021	0.94	0.9	4.4	1.52	1.68	-23	-26	2	0	0
05023	0.97	0.96	2.62	1.13	0.44	-43	-46	1	2	0
05025	0.86	0.82	1.01	1.25	0.0	-7	-9	1	0	0
05027	0.83	0.77	0.9	1.13	0.46	-2	-8	5	1	-1
05029	1.04	0.99	1.24	1.27	0.85	-16	-21	0	4	0
05031	0.94	0.85	1.15	1.73	0.63	67	-54	87	34	0
05033	0.98	0.94	1.74	1.16	0.68	-56	-69	2	12	-2
05035	1.05	0.92	1.13	1.44	1.05	5	-32	34	3	0
05037	1.03	0.98	1.1	1.46	1.3	-6	-9	0	2	1
05039	0.84	0.85	0.74	1.72	5.33	-16	-10	-7	0	1
05041	1.17	1.03	1.24	1.76	0.78	9	-1	7	3	0
05043	0.82	0.75	0.91	1.26	0.3	-18	-19	3	-1	0
05045	0.82	0.77	0.92	1.53	0.53	24	-47	35	34	3
05047	0.97	0.98	1.68	0.69	0.44	-12	-12	2	0	-2
05049	0.95	0.93	2.67	1.32	1.29	-21	-21	1	0	0
05051	0.95	0.83	1.33	1.77	0.83	-83	-149	29	38	-1
05053	0.92	0.87	1.06	2.24	0.67	-30	-35	0	5	-1
05055	1.01	0.99	2.99	1.28	0.88	-6	-17	4	7	1
05057	1.17	0.97	1.18	1.95	0.91	14	-16	6	24	0
05059	0.91	0.83	1.09	2.14	0.77	-28	-41	3	10	0
05061	1.09	1.03	1.02	1.5	0.51	-2	-8	-1	7	0
05063	1.01	0.92	2.03	1.79	1.04	-14	-42	6	21	0
05065	0.91	0.9	0.96	1.46	0.41	-22	-23	0	1	0
05067	0.89	0.85	0.99	1.21	1.03	-25	-30	3	2	0
05069	0.94	0.83	0.99	1.59	0.86	-41	-60	10	8	0
05071	1.04	0.93	1.45	1.49	1.6	5	-23	2	22	3
05073	0.79	0.73	0.87	0.21	2.88	-20	-10	-10	0	0
05075	0.9	0.88	2.88	1.21	0.44	-22	-24	2	1	0
05077	1.02	0.74	1.14	2.06	1.09	-7	-7	-1	2	0
05079	1.02	1.01	1.02	1.14	1.24	-15	-10	-5	0	0
05081	0.88	0.81	0.89	1.76	1.47	-19	-20	-2	2	0
05083	0.97	0.94	1.47	1.16	1.25	-29	-33	0	2	2
05085	0.96	0.92	1.3	1.4	0.79	-15	-39	6	16	2
05087	0.98	0.93	1.76	1.29	2.06	-14	-21	1	5	1
05089	0.94	0.93	0.94	1.15	0.69	-34	-32	0	-2	0
05091	1.03	0.96	1.16	1.33	1.23	3	-21	19	4	2
05093	1.08	0.96	1.17	1.65	1.83	12	-32	32	11	1
05095	1.0	0.9	1.12	1.07	0.87	-11	-9	-2	0	0
05097	0.91	0.81	1.99	1.71	2.74	-24	-27	1	2	1
05099	1.02	1.01	0.92	1.9	0.72	-8	-3	-7	2	0
05101	0.92	0.94	1.71	0.52	0.27	-12	-12	0	-1	0
05103	1.11	1.02	1.18	1.8	1.43	-1	-8	5	2	0
05105	0.91	0.88	0.88	1.71	1.0	-22	-25	1	3	0
05107	1.17	1.1	1.2	1.08	0.3	20	-4	24	1	0
05109	0.99	0.94	0.76	1.61	0.99	-13	-17	0	4	0
05111	0.95	0.89	1.2	2.13	1.09	-13	-22	1	7	1
05113	1.15	1.05	3.32	1.9	0.96	9	-6	2	12	1
05115	0.89	0.82	1.47	1.47	0.56	-28	-66	11	27	0
05117	0.86	0.87	0.79	0.83	6.0	-25	-22	-3	0	0
05119	0.96	0.85	0.99	1.71	0.79	119	-250	192	179	-2
05121	1.04	0.99	2.31	2.23	2.32	-8	-13	1	4	1
05123	1.17	0.97	1.26	1.87	2.76	23	-12	31	3	2
05125	0.93	0.89	0.99	1.51	0.64	-94	-143	22	28	-1
05127	1.06	0.96	3.24	1.86	0.69	-7	-14	1	7	-2
05129	0.92	0.92	3.07	0.54	0.0	-17	-16	0	-1	0
