GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	0.98	0.97	1.03	1.32	0.69	-30	-30	-2	2	-1
01003	0.91	0.87	1.13	1.38	1.39	-317	-339	10	12	0
01005	1.0	0.81	1.06	3.38	0.9	-21	-40	6	12	1
01007	0.96	0.94	1.01	1.48	0.0	-10	-12	1	1	0
01009	0.98	0.89	1.13	2.28	0.98	-31	-73	2	40	0
01011	1.08	0.99	0.99	3.72	1.58	0	-6	-2	8	0
01013	0.95	0.92	0.99	0.88	0.0	-40	-31	-8	0	0
01015	0.91	0.85	1.05	1.64	0.78	-163	-178	5	15	-6
01017	0.9	0.9	0.89	1.39	0.44	-57	-41	-18	1	0
01019	0.92	0.89	1.01	2.69	0.64	-41	-41	-2	3	0
01021	0.92	0.86	0.98	2.26	1.36	-40	-57	3	14	1
01023	0.97	0.99	0.94	1.09	0.0	-18	-6	-12	0	0
01025	1.05	1.06	1.03	1.33	1.04	-3	-4	0	1	0
01027	0.85	0.83	0.88	1.13	0.0	-28	-25	-3	1	0
01029	0.82	0.78	1.15	1.82	0.75	-25	-28	1	2	0
01031	0.91	0.85	0.95	1.91	0.44	-69	-66	-7	11	-7
01033	0.88	0.86	0.91	1.38	1.2	-105	-93	-15	3	0
01035	0.95	0.85	1.06	0.29	0.63	-25	-20	-4	-2	0
01037	0.79	0.79	0.79	1.26	1.2	-33	-20	-13	0	0
01039	0.93	0.88	1.15	1.58	0.6	-74	-75	0	2	-1
01041	0.9	0.93	0.82	1.15	0.0	-20	-12	-8	0	0
01043	0.93	0.89	1.19	2.06	0.75	-91	-115	1	23	0
01045	1.08	1.06	1.12	1.46	0.64	29	2	17	14	-4
01047	1.09	0.89	1.17	1.08	1.47	-12	-46	34	0	0
01049	1.02	0.85	1.31	2.56	2.08	-27	-108	0	78	3
01051	0.96	0.93	1.02	1.45	0.87	-64	-80	12	5	-1
01053	1.02	0.92	1.2	1.19	0.88	-13	-33	17	2	0
01055	0.94	0.89	0.99	2.3	1.29	-136	-160	-5	27	1
01057	0.91	0.91	0.78	1.16	5.05	-30	-26	-6	1	1
01059	1.04	0.9	0.89	2.38	4.27	-13	-47	-1	32	3
01061	0.9	0.86	0.96	1.6	1.65	-47	-46	-3	2	0
01063	1.0	0.71	1.05	0.0	1.2	-17	-11	-6	0	0
01065	1.05	0.96	1.1	0.89	0.57	-6	-10	4	0	0
01067	0.98	0.97	0.93	2.32	0.82	-24	-21	-8	4	0
01069	0.98	0.91	1.14	1.46	0.91	-69	-117	40	7	1
01071	0.85	0.83	1.0	1.01	0.82	-109	-103	-3	-4	0
01073	0.89	0.81	0.93	1.8	0.94	-1080	-927	-298	125	20
01075	0.81	0.81	0.74	2.46	0.0	-27	-26	-2	1	0
01077	0.79	0.76	0.92	1.52	0.67	-183	-188	-3	8	0
