GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	1.02	0.99	1.07	1.51	1.15	-37	-41	0	5	0
01003	0.95	0.9	1.11	1.72	1.25	-313	-343	2	25	3
01005	1.06	0.87	1.02	4.76	1.25	-15	-35	-2	22	0
01007	0.87	0.87	0.87	1.63	0.0	-24	-22	-2	1	0
01009	0.98	0.87	0.89	2.36	0.57	-34	-77	0	44	0
01011	1.12	1.03	0.9	5.61	1.89	-6	-7	-11	13	0
01013	0.92	0.88	0.97	0.81	0.82	-30	-26	-4	0	0
01015	0.93	0.88	1.03	1.78	0.79	-155	-166	-1	21	-10
01017	0.93	0.93	0.92	1.61	0.95	-52	-35	-19	2	0
01019	0.94	0.93	0.83	2.3	0.48	-40	-39	-4	3	0
01021	0.95	0.89	0.92	2.77	1.36	-37	-59	1	20	1
01023	0.82	0.83	0.8	0.55	0.0	-39	-15	-23	0	0
01025	1.0	1.05	0.95	1.14	0.5	-28	-8	-20	0	0
01027	0.75	0.75	0.66	1.42	0.0	-38	-31	-8	1	0
01029	0.9	0.87	1.06	1.82	0.0	-18	-21	0	3	0
01031	0.93	0.86	0.92	2.34	0.66	-67	-64	-14	17	-6
01033	0.85	0.83	0.84	1.81	0.91	-120	-107	-19	6	1
01035	0.94	0.92	0.96	0.79	0.57	-27	-14	-12	-2	0
01037	0.74	0.72	0.76	1.29	0.0	-41	-28	-13	0	0
01039	1.0	0.97	1.08	1.92	0.69	-56	-60	0	4	0
01041	0.95	1.01	0.79	0.9	0.0	-16	-4	-10	-1	0
01043	0.91	0.87	1.13	2.05	0.71	-105	-135	2	28	0
01045	1.05	1.06	1.03	1.25	0.58	2	-7	8	8	-6
01047	1.12	0.92	1.18	0.94	1.84	-25	-46	21	0	0
01049	1.07	0.85	1.27	2.9	2.16	-16	-121	-1	103	2
01051	0.95	0.93	0.93	1.88	0.77	-85	-95	0	12	-2
01053	1.07	0.96	1.2	1.5	0.98	-19	-42	15	7	1
01055	0.96	0.88	0.96	2.86	1.66	-140	-166	-14	38	2
01057	0.91	0.91	0.81	0.97	6.0	-34	-29	-7	0	2
01059	1.11	0.95	0.93	2.42	4.57	1	-38	-3	38	4
01061	0.9	0.87	0.87	1.67	2.35	-55	-52	-7	3	0
01063	0.95	0.57	1.02	2.4	2.4	-26	-11	-16	0	0
01065	0.94	0.92	0.96	1.13	0.59	-26	-10	-15	0	0
01067	1.0	0.97	0.95	2.37	4.09	-20	-16	-8	4	0
01069	0.99	0.92	1.11	1.57	0.81	-71	-115	32	12	0
01071	0.89	0.87	1.06	1.06	0.85	-90	-86	-3	-1	0
01073	0.92	0.85	0.94	2.17	1.0	-961	-846	-319	177	27
01075	0.83	0.82	0.86	1.3	0.0	-33	-29	-4	1	0
01077	0.79	0.76	0.85	1.73	0.53	-200	-202	-8	12	-1
01079	0.86	0.93	0.78	0.46	0.74	-63	-35	-14	-14	0
01081	0.66	0.61	0.77	1.06	0.84	-98	-83	-19	5	-1
01083	0.92	0.84	0.85	2.95	0.95	-84	-112	-12	42	-2
01085	1.03	1.01	1.03	3.98	0.4	-8	-9	1	1	0
01087	0.71	0.99	0.67	1.37	0.31	-29	-2	-26	0	-1
01089	0.83	0.81	0.8	1.37	1.04	-625	-601	-46	20	1
01091	0.99	0.97	0.99	1.66	0.42	-30	-16	-16	2	0
01093	0.92	0.9	1.19	1.43	0.48	-53	-55	2	1	0
01095	1.19	0.97	1.49	3.32	0.88	40	-108	10	138	1
01097	0.98	0.92	1.07	1.24	1.1	-315	-360	11	13	21
01099	0.93	0.96	0.92	0.71	0.29	-33	-19	-14	1	-1
01101	0.96	0.91	0.95	2.51	1.04	-107	-204	57	40	0
01103	0.99	0.87	1.04	2.61	0.67	-126	-215	9	84	-3
01105	1.15	0.65	1.32	1.51	0.56	7	-12	19	0	0
01107	0.95	1.01	0.88	1.62	0.88	-27	-18	-10	0	0
01109	0.84	0.78	0.91	1.28	0.37	-14	-11	-6	3	0
01111	0.93	0.83	1.03	2.76	4.5	-23	-32	2	5	1
01113	0.89	0.97	0.77	1.31	1.09	-69	-24	-49	4	-1
01115	0.88	0.88	0.82	1.62	0.88	-108	-106	-6	4	0
01117	0.98	0.94	0.87	2.27	1.27	-132	-209	0	69	8
01119	0.82	0.77	0.84	0.29	0.0	-37	-6	-30	-1	0
01121	0.98	0.96	0.92	2.87	5.1	-92	-86	-25	10	8
01123	0.98	0.91	1.01	4.16	0.42	-59	-69	1	10	-1
01125	0.8	0.76	0.82	1.72	0.8	-187	-203	-18	23	10
01127	0.94	0.91	1.09	1.67	1.07	-111	-114	-1	5	-1
01129	0.89	0.89	0.84	1.03	0.72	-34	-22	-12	0	0
01131	1.24	1.13	1.27	0.38	0.0	9	-8	16	0	0
01133	0.86	0.84	1.65	1.59	0.0	-44	-46	1	1	0
02013	0.53	0.37	0.0	0.87	0.24	-15	-4	0	-1	-10
02016	0.45	0.51	0.0	0.68	0.21	-19	-5	-1	-2	-11
02020	0.96	0.8	1.37	1.35	1.12	-278	-569	70	191	30
02050	1.63	0.91	3.97	1.75	0.5	83	-7	3	88	-1
02060	0.65	0.64	0.0	0.71	0.0	-7	-5	0	-2	0
02068	1.01	0.61	0.0	3.76	0.5	-6	-10	0	4	0
02070	1.32	0.87	0.0	1.47	1.07	5	-5	0	10	0
02090	1.09	1.0	1.81	1.25	0.9	83	-28	59	60	-8
02100	0.69	0.72	0.0	0.63	0.0	-14	-12	0	-2	0
02105	1.01	1.16	0.0	0.94	0.0	-5	-4	0	-1	0
02110	0.79	0.67	2.07	1.24	0.66	-110	-112	1	11	-9
02122	0.93	0.89	2.43	1.15	0.88	-180	-179	3	-2	-1
02130	0.99	0.92	3.06	1.17	0.92	-33	-35	1	1	-1
02150	1.15	1.09	1.18	1.18	1.27	4	-6	0	2	7
02164	0.96	1.05	0.0	0.96	0.0	-2	-1	0	-1	0
02170	0.99	0.93	1.95	1.34	1.12	-142	-169	7	20	0
02180	1.59	0.98	5.57	1.76	0.87	38	-2	1	38	1
02185	1.52	0.69	3.8	1.77	0.79	19	-6	1	26	-2
02188	1.56	0.8	21.0	1.65	1.09	38	-3	1	40	0
02195	0.75	0.72	0.0	0.8	0.99	-22	-19	0	-2	0
02198	0.83	0.77	4.0	0.91	0.27	-15	-14	0	-1	0
02220	1.03	0.92	2.25	1.33	0.91	-15	-16	0	3	-2
02230	0.93	0.65	0.0	5.5	0.0	-1	-3	0	2	0
02240	1.32	1.22	1.49	1.76	1.37	1	-6	2	5	1
02261	0.94	0.87	3.49	1.11	1.08	-41	-40	1	-2	-1
02270	1.94	1.34	60.0	1.96	4.0	61	0	1	60	0
02275	0.79	0.77	0.0	0.84	0.92	-12	-10	0	-2	0
02282	0.74	0.62	0.0	0.91	0.0	-1	0	0	-1	0
02290	1.01	1.05	6.0	1.0	0.0	-9	-5	0	-3	-1
04001	1.4	0.98	2.97	1.48	1.25	101	-39	9	129	3
04003	1.17	0.99	1.7	1.38	0.84	-60	-179	33	102	-16
04005	0.99	0.68	1.57	1.42	0.61	-55	-270	9	213	-7
04007	1.35	0.96	2.61	1.99	0.77	-42	-123	3	78	-1
04009	1.09	1.05	2.08	1.13	0.57	19	2	3	14	-1
04011	1.23	1.18	3.0	1.28	0.0	-2	-6	1	4	0
04012	1.15	0.87	2.97	1.38	0.43	-17	-43	2	24	-1
04013	1.17	0.86	1.45	1.72	1.09	5842	-4450	815	9170	306
04015	1.1	0.99	1.83	1.53	1.1	-243	-370	8	121	-2
04017	1.28	1.05	2.82	1.4	0.86	119	-87	12	193	1
04019	1.0	0.72	1.45	1.35	0.97	-416	-1977	154	1384	23
04021	1.18	0.96	1.72	1.44	1.28	212	-212	37	379	8
04023	1.47	1.22	2.93	1.5	0.82	86	-20	3	104	0
04025	0.97	0.81	2.04	1.72	1.04	-510	-668	8	154	-4
04027	1.47	1.09	1.84	1.63	1.05	520	-68	33	551	3
05001	0.99	0.96	0.98	2.77	1.73	-28	-31	-2	4	0
05003	0.96	0.95	0.87	1.93	0.25	-16	-16	-9	10	0
05005	0.91	0.89	1.62	1.27	0.77	-87	-91	2	2	0
05007	1.08	0.9	1.42	1.94	1.37	147	-167	21	270	23
05009	0.96	0.94	1.52	1.82	1.2	-32	-36	2	3	-1
05011	1.11	1.01	0.84	2.94	2.73	6	-4	-5	14	0
05013	0.74	0.66	0.81	1.66	0.0	-23	-18	-6	1	0
05015	1.09	0.92	5.88	1.85	0.34	-21	-54	2	33	-2
05017	1.11	1.15	1.05	2.07	0.0	-11	-7	-7	4	0
05019	0.78	0.71	0.74	2.23	0.47	-21	-21	-11	11	0
05021	0.95	0.94	2.31	1.29	1.41	-21	-23	1	1	0
05023	0.89	0.88	1.36	1.16	0.0	-59	-62	2	1	0
05025	1.0	0.95	1.33	0.98	0.0	-3	-9	6	0	0
05027	0.84	0.75	0.98	1.04	0.24	-31	-33	2	1	0
05029	0.94	0.92	0.92	1.29	0.78	-32	-32	-4	4	0
05031	0.89	0.8	1.17	2.03	0.95	23	-65	51	33	4
05033	0.99	0.92	1.82	1.58	1.28	-52	-75	5	16	1
05035	1.14	0.95	1.29	1.79	0.79	27	-52	72	6	1
05037	1.01	0.95	1.14	1.36	1.17	-14	-18	2	2	0
05039	1.01	0.97	1.03	1.54	0.86	-15	-10	-5	1	0
05041	1.08	1.02	1.08	1.87	1.45	-15	-16	-2	4	0
05043	0.77	0.7	0.86	1.25	0.53	-30	-22	-8	1	-1
05045	0.84	0.82	0.85	1.21	0.66	-7	-49	26	16	1
05047	0.99	0.98	1.04	1.0	1.68	-19	-22	1	1	1
05049	0.86	0.82	2.35	2.36	0.0	-38	-40	1	2	0
05051	0.95	0.89	1.14	1.85	0.63	-163	-197	8	27	-1
05053	0.82	0.8	0.94	1.2	0.3	-34	-35	0	1	0
05055	0.97	0.95	1.53	1.54	2.37	-14	-20	2	3	1
05057	1.05	0.79	1.08	2.09	0.99	-9	-37	-2	29	0
05059	0.94	0.89	0.99	2.23	1.28	-45	-49	-4	7	0
05061	1.1	0.87	0.98	2.9	1.85	9	-12	-2	23	0
05063	1.05	0.98	1.57	2.51	0.77	-32	-49	4	12	1
05065	0.87	0.86	0.97	1.07	0.0	-25	-24	0	-1	-1
05067	0.82	0.78	0.87	1.73	2.12	-37	-39	-1	3	1
05069	1.02	0.9	1.09	1.53	1.08	-69	-95	19	5	2
05071	1.13	1.03	1.83	1.76	0.56	22	-3	2	23	0
05073	0.96	0.94	0.93	2.4	0.0	-15	-11	-5	1	-1
05075	0.9	0.9	0.82	0.81	0.34	-32	-32	0	0	0
05077	0.93	0.91	0.94	1.3	0.0	-18	-7	-11	0	0
05079	1.02	0.87	1.29	2.02	0.0	-6	-13	4	3	0
05081	0.79	0.76	0.78	1.39	0.0	-32	-25	-8	1	0
05083	1.02	1.0	1.95	1.25	1.04	-20	-27	2	3	2
05085	0.92	0.89	1.02	1.55	0.89	-47	-58	0	11	0
05087	1.0	0.9	2.61	2.47	2.67	-28	-37	1	7	0
05089	0.73	0.71	1.55	1.23	0.26	-72	-71	1	0	-1
05091	0.94	0.88	1.03	1.52	0.6	-30	-41	6	6	0
05093	1.17	1.02	1.31	2.22	1.17	22	-34	45	11	0
05095	1.03	0.96	1.06	1.92	2.18	-17	-17	-2	1	0
05097	0.83	0.8	0.0	1.35	0.41	-22	-24	0	2	0
05099	1.01	0.97	1.03	1.38	2.7	-5	-6	-1	3	0
05101	0.76	0.74	0.0	1.65	0.0	-29	-29	0	1	0
05103	1.04	1.03	1.02	2.19	0.14	-47	-30	-19	2	0
05105	0.82	0.83	0.7	0.93	0.0	-25	-22	-2	-1	0
05107	1.26	1.04	1.38	1.17	0.22	13	-23	37	0	0
05109	0.89	0.78	1.14	2.3	0.0	-19	-25	0	6	0
05111	1.05	0.96	1.6	2.39	0.92	-7	-21	7	6	0
05113	1.13	1.05	2.14	2.04	0.5	-6	-18	1	11	0
05115	0.94	0.88	1.28	1.91	0.73	-23	-52	5	23	0
05117	0.81	0.79	0.99	0.57	0.0	-29	-27	-1	0	0
05119	1.03	0.94	1.04	2.06	1.45	-95	-373	106	132	40
05121	0.94	0.92	1.6	1.75	1.33	-15	-19	1	2	0
05123	1.16	1.02	1.26	1.3	0.96	-7	-20	12	1	0
05125	0.81	0.77	1.13	2.02	1.04	-181	-208	7	18	2
05127	1.07	0.99	1.29	1.68	0.81	0	-6	1	6	0
05129	0.86	0.86	0.0	1.23	0.0	-17	-17	0	0	0
05131	1.13	0.95	1.23	2.18	1.24	48	-135	14	156	12
05133	1.4	0.92	1.11	2.45	0.96	63	-5	1	67	0
05135	0.93	0.91	1.88	1.03	0.0	-25	-26	2	-1	0
05137	0.92	0.89	2.12	1.5	0.86	-24	-25	0	1	0
05139	1.0	0.92	1.08	1.92	0.92	-57	-55	-6	6	-2
05141	1.02	1.02	1.95	0.98	0.51	-29	-29	1	-1	0
05143	1.03	0.85	1.08	2.18	0.99	305	-49	35	296	23
05145	0.91	0.86	1.21	1.69	2.45	-15	-52	14	18	6
05147	0.94	0.92	0.98	0.61	6.0	-19	-12	-7	0	0
05149	1.26	0.95	2.21	2.34	1.29	22	-27	4	44	1
06001	0.93	0.74	0.86	1.34	0.9	-1213	-2238	-345	1391	-21
06003	0.91	0.83	0.0	1.11	0.0	-5	-6	0	0	0
06005	0.81	0.73	1.05	1.44	0.65	-138	-142	0	7	-2
06007	0.78	0.68	1.29	1.11	1.0	-388	-519	13	101	17
06009	0.74	0.68	1.01	1.15	0.67	-229	-223	-1	-2	-3
06011	1.3	0.85	1.16	1.68	0.7	27	-33	1	61	-2
06013	0.95	0.83	0.92	1.34	0.81	-1870	-2284	-148	902	-340
06015	0.97	0.77	1.43	1.56	1.15	-63	-90	1	24	2
06017	0.88	0.79	1.05	1.44	0.86	-745	-786	1	59	-20
06019	1.22	0.81	1.26	1.53	1.18	1770	-951	159	2339	222
06021	1.21	0.97	2.0	1.58	1.04	23	-45	3	63	2
06023	0.79	0.69	1.36	1.21	0.87	-298	-369	9	56	5
06025	1.42	1.02	1.21	1.52	0.93	357	-60	7	411	-2
06027	0.89	0.63	1.46	1.41	1.02	-60	-77	0	16	0
06029	1.27	0.88	1.43	1.65	0.99	1360	-861	141	2098	-18
06031	1.3	0.99	1.5	1.58	1.09	364	-18	33	353	-3
06033	0.9	0.76	1.54	1.42	0.79	-206	-236	2	30	-2
06035	0.85	0.77	1.49	1.18	0.96	-73	-81	2	7	0
06037	0.98	0.69	0.84	1.27	0.71	2158	-10395	-1483	17967	-3931
06039	1.09	0.69	0.37	1.57	0.74	123	-276	-35	439	-5
06041	0.95	0.87	0.96	1.46	0.74	-843	-911	-9	145	-68
06043	0.76	0.75	1.02	0.88	0.26	-86	-80	0	-5	-2
06045	1.02	0.75	1.66	1.72	0.73	-152	-287	4	137	-6
06047	1.29	0.86	1.22	1.6	1.25	598	-219	14	748	56
06049	0.86	0.8	1.43	1.11	0.75	-29	-30	0	2	0
06051	0.84	0.54	0.75	1.69	0.59	-34	-58	1	24	0
06053	1.26	0.75	1.03	1.68	0.77	711	-604	-9	1416	-92
06055	0.96	0.68	0.82	1.58	0.68	-223	-405	-3	203	-19
06057	0.78	0.73	0.95	1.33	0.66	-484	-494	0	17	-7
06059	1.0	0.75	0.88	1.43	0.82	-652	-5338	-28	5423	-709
06061	0.91	0.81	1.03	1.45	0.94	-762	-899	2	139	-4
06063	0.81	0.8	1.82	0.84	0.62	-103	-100	0	-3	-1
06065	1.11	0.79	1.05	1.49	0.79	1514	-2735	46	4338	-135
06067	0.98	0.8	1.09	1.4	0.97	-522	-2089	158	1267	141
06069	1.12	0.73	0.86	1.49	0.72	17	-108	1	132	-7
06071	1.09	0.8	1.06	1.36	0.84	1277	-2534	105	3889	-184
06073	0.98	0.75	1.1	1.4	0.81	-609	-4854	254	4405	-413
06075	0.62	0.48	0.82	0.97	0.66	-1291	-563	-108	125	-744
06077	1.17	0.81	1.19	1.61	1.11	768	-876	96	1393	156
06079	0.75	0.63	0.81	1.25	0.57	-790	-931	0	157	-17
06081	0.99	0.93	0.92	1.29	0.86	-725	-1045	-31	575	-224
06083	1.01	0.61	0.9	1.63	0.67	36	-904	5	968	-33
06085	1.05	0.84	0.98	1.4	1.03	504	-2209	15	2092	606
06087	0.9	0.57	0.68	1.7	0.52	-393	-860	-1	512	-43
06089	0.9	0.81	1.89	1.42	1.06	-440	-501	11	52	-3
06091	0.67	0.64	0.0	0.94	0.71	-17	-17	0	0	0
06093	0.98	0.84	1.51	1.69	0.9	-157	-176	1	21	-3
06095	0.99	0.8	0.96	1.49	0.92	-493	-720	-84	447	-136
06097	0.91	0.67	1.1	1.6	0.89	-1087	-1741	13	663	-22
06099	1.12	0.82	1.13	1.53	0.9	392	-725	25	1105	-12
06101	1.12	0.84	1.09	1.63	1.19	54	-125	5	147	28
06103	1.0	0.84	1.81	1.51	0.69	-76	-133	3	58	-3
06105	0.85	0.82	0.0	1.12	0.53	-61	-59	0	-2	0
06107	1.41	0.92	1.4	1.74	1.03	1279	-357	32	1601	2
06109	0.79	0.7	0.95	1.29	1.44	-218	-224	0	5	1
06111	1.07	0.8	1.12	1.45	0.85	-665	-1849	3	1329	-148
06113	0.78	0.63	0.71	1.28	0.49	-70	-336	6	240	20
06115	1.25	1.03	1.72	1.75	1.36	117	-15	12	98	22
08001	1.15	0.95	1.24	1.5	1.12	696	-244	38	852	51
08003	1.08	0.87	1.06	1.36	0.08	11	-9	1	20	-1
08005	1.01	0.8	1.19	1.76	1.01	-582	-1418	107	714	14
08007	0.9	0.79	0.0	1.35	1.09	-49	-51	0	3	0
08009	0.97	0.89	0.0	1.53	1.5	-9	-12	0	2	0
08011	1.06	0.86	3.65	1.38	1.71	-4	-7	1	3	0
08013	0.81	0.66	0.87	1.59	1.1	-668	-973	7	259	39
08014	0.92	0.74	1.69	1.94	1.43	-74	-140	3	49	14
08015	0.89	0.85	0.92	1.36	0.0	-66	-66	0	1	-1
08017	1.13	1.11	0.0	1.31	0.0	-3	-3	0	1	0
08019	0.79	0.79	0.75	0.78	0.56	-52	-50	0	-2	0
08021	1.2	1.2	1.0	1.19	0.92	1	2	0	-1	0
08023	0.97	0.69	0.0	1.14	0.0	-14	-7	0	-5	-1
08025	0.98	0.83	4.0	1.44	0.0	-4	-6	0	2	0
08027	0.85	0.87	4.8	0.59	0.0	-27	-26	0	-1	0
08029	1.09	0.98	2.52	1.65	1.21	-53	-70	0	17	0
08031	1.14	0.69	1.2	1.93	0.98	1385	-471	80	1684	92
08033	0.83	0.73	4.0	1.96	0.0	-6	-7	0	0	0
08035	1.08	1.05	1.31	1.26	1.21	-112	-212	13	50	36
08037	1.0	0.72	0.97	1.77	0.75	18	-105	2	121	0
08039	0.81	0.76	0.88	1.37	2.29	-138	-140	-1	2	1
08041	0.99	0.85	1.38	1.52	1.18	-565	-1135	152	399	19
08043	0.9	0.85	0.72	1.26	1.2	-112	-116	1	4	0
08045	1.23	0.87	1.96	2.4	2.1	-11	-154	3	136	3
08047	0.87	0.84	0.0	1.19	1.43	-24	-24	0	0	1
08049	0.76	0.72	0.4	1.34	0.5	-55	-58	0	3	0
08051	0.73	0.67	1.59	1.57	0.28	-13	-22	1	8	0
08053	1.04	1.1	0.0	0.0	0.0	-3	-2	0	0	0
08055	0.99	0.8	0.51	1.25	0.63	-25	-26	0	2	-1
08057	0.93	0.77	0.0	2.31	0.0	-5	-6	0	2	0
08059	0.85	0.77	1.27	1.15	1.12	-1703	-1919	23	178	16
08061	1.07	1.09	0.0	1.0	0.0	0	0	0	0	0
08063	1.22	1.09	0.0	1.76	0.0	-8	-17	0	9	0
08065	1.0	0.63	1.71	1.51	0.12	10	-13	0	23	0
08067	0.7	0.61	1.06	1.09	0.7	-167	-185	1	16	0
08069	0.79	0.7	1.16	1.43	1.0	-610	-786	19	143	14
08071	0.94	0.71	1.45	1.23	1.18	-40	-40	1	-1	1
08073	1.08	0.97	5.0	1.78	0.67	-11	-15	0	3	0
08075	0.99	0.87	1.44	1.74	0.65	-30	-44	2	12	0
08077	0.95	0.85	1.73	1.59	1.02	-235	-320	9	73	3
08079	0.42	0.39	0.0	0.83	0.0	-5	-5	0	0	0
08081	1.05	0.89	1.26	1.78	6.0	-30	-44	0	11	3
08083	1.0	0.81	2.14	1.48	3.12	-55	-71	1	15	0
08085	1.12	0.88	2.05	1.97	2.6	-43	-96	2	46	4
08087	1.29	0.86	2.39	2.03	1.53	21	-61	3	78	1
08089	1.32	1.0	1.87	1.71	1.56	6	-27	3	30	0
08091	0.78	0.74	0.0	1.22	0.0	-25	-26	0	1	0
08093	0.77	0.75	0.0	0.94	1.46	-111	-106	-1	-4	0
08095	1.27	1.07	6.0	1.82	0.0	-3	-11	0	8	0
08097	0.73	0.64	0.98	1.69	0.95	-60	-66	0	6	-1
08099	1.33	0.94	3.21	1.95	0.9	17	-21	1	37	0
08101	0.99	0.76	1.41	1.28	0.93	-150	-279	13	120	-3
08103	0.98	0.98	6.0	0.64	9.6	-15	-16	0	0	1
08105	1.15	0.88	1.66	1.48	0.6	-14	-23	1	9	0
