GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	0.84	0.81	0.88	1.04	1.09	-99	-95	-8	4	0
01003	0.95	0.9	1.07	1.51	0.61	-240	-308	27	49	-9
01005	1.02	0.83	1.04	2.39	0.85	-4	-20	6	11	0
01007	0.97	0.94	1.03	1.4	1.29	-23	-26	1	2	-1
01009	1.0	0.92	1.83	1.46	1.83	-46	-81	4	28	2
01011	1.14	1.05	1.02	2.43	0.54	13	0	4	9	0
01013	0.88	0.92	0.82	2.11	0.86	-16	-13	-6	3	1
01015	0.87	0.82	0.94	1.37	0.87	-95	-134	17	21	1
01017	0.95	0.93	0.88	2.69	1.12	-26	-28	-7	8	1
01019	0.86	0.81	1.46	1.19	3.95	-50	-53	2	0	1
01021	1.0	0.94	1.09	1.52	0.82	-15	-35	5	15	1
01023	0.94	0.88	0.97	3.04	0.63	-17	-14	-4	1	0
01025	0.93	0.96	0.88	1.78	1.43	-25	-12	-16	3	0
01027	0.89	0.83	0.94	1.83	1.95	-16	-18	-3	4	0
01029	0.96	0.94	1.27	1.42	0.63	-16	-19	2	2	0
01031	0.94	0.87	0.98	1.37	1.13	-47	-71	2	19	3
01033	0.92	0.94	0.85	1.04	0.57	-66	-58	-7	1	-2
01035	1.11	1.07	1.09	2.84	1.23	3	0	1	3	0
01037	0.78	0.77	0.78	1.17	0.24	-37	-18	-18	0	-1
01039	1.0	0.96	1.14	1.35	1.0	-12	-22	8	2	-1
01041	0.95	0.97	0.73	3.54	0.43	-6	-3	-7	5	0
01043	1.02	0.94	1.57	1.81	3.15	-8	-62	8	33	14
01045	1.02	1.01	0.98	1.23	0.88	17	-6	10	12	1
01047	0.98	0.87	1.0	1.96	0.96	18	-14	29	3	0
01049	0.96	0.83	1.16	1.6	0.47	-55	-118	0	65	-3
01051	0.82	0.79	0.83	1.12	1.08	-134	-129	-17	11	0
01053	1.01	0.97	0.95	1.7	2.12	-6	-12	-1	5	1
01055	0.87	0.79	0.98	1.84	0.62	-152	-174	-4	29	-2
01057	1.01	0.88	1.34	2.0	20.14	-15	-22	1	2	4
01059	1.12	0.95	1.34	1.83	0.45	10	-26	-4	40	0
01061	0.94	0.93	0.9	1.18	0.66	-38	-39	0	2	-1
01063	1.04	0.99	0.98	4.0	5.4	-2	-2	-2	1	0
01065	1.03	1.05	0.98	3.55	2.16	14	-4	14	3	1
01067	0.84	0.84	0.81	1.2	0.44	-26	-20	-6	1	0
01069	0.88	0.84	0.92	1.32	0.84	-86	-106	8	12	-1
01071	0.83	0.78	1.67	1.18	0.6	-85	-94	6	4	-2
01073	0.93	0.86	0.93	1.91	0.8	-45	-315	67	207	-3
01075	0.9	0.88	1.03	1.15	1.89	-17	-16	-2	1	0
01077	0.78	0.74	0.84	1.43	0.47	-130	-142	0	14	-1
01079	0.91	0.94	0.86	0.7	1.44	-63	-52	-9	-2	1
01081	0.74	0.68	0.79	1.24	0.89	-54	-62	-16	28	-4
01083	0.89	0.86	0.86	1.4	0.65	-137	-143	-22	32	-4
01085	1.03	1.06	1.03	1.06	1.2	-5	-6	1	0	0
01087	0.68	0.91	0.63	2.13	0.9	-14	-5	-11	2	0
01089	0.86	0.86	0.82	1.27	0.71	-413	-449	6	57	-27
01091	1.01	1.14	0.87	1.94	1.56	-14	-2	-15	3	0
01093	0.95	0.91	1.49	1.7	0.51	-39	-42	1	3	0
01095	1.12	0.88	1.9	2.33	1.38	31	-125	14	139	3
01097	0.98	0.92	1.05	1.15	0.97	89	-175	240	28	-3
01099	0.88	0.84	0.88	1.49	0.65	-31	-26	-7	3	0
01101	0.94	0.87	0.89	3.01	0.98	70	-103	73	100	0
01103	0.95	0.83	0.97	1.84	0.86	-130	-208	2	76	0
01105	0.82	0.65	0.87	1.27	0.73	-2	-4	2	1	0
01107	0.83	0.76	0.96	0.49	0.08	-45	-36	-3	-5	-1
01109	0.67	0.62	0.71	1.0	0.6	-4	-4	-3	1	2
01111	1.02	0.94	1.09	1.8	2.35	-21	-27	0	6	0
01113	1.08	1.14	0.96	1.75	1.16	63	34	0	25	5
01115	0.95	0.93	0.93	1.63	0.87	-77	-81	-3	11	-4
01117	0.91	0.87	0.81	1.53	1.12	-308	-344	-35	66	5
01119	0.75	0.68	0.79	0.5	0.47	-6	0	-7	0	1
