GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	1.0	0.97	1.04	1.73	1.29	-49	-57	2	7	0
01003	0.97	0.91	1.09	2.03	1.34	-307	-355	0	43	5
01005	1.05	0.86	0.93	5.89	1.15	-14	-34	-8	29	0
01007	0.86	0.85	0.89	1.55	0.0	-22	-22	0	1	0
01009	0.98	0.87	0.91	2.46	0.55	-35	-83	0	48	-1
01011	1.22	1.2	0.96	5.96	1.87	2	-6	-6	14	0
01013	0.93	0.9	0.96	1.15	1.33	-36	-30	-6	0	0
01015	0.93	0.88	0.98	1.9	0.92	-156	-159	-13	25	-10
01017	0.94	0.96	0.91	1.54	0.68	-54	-31	-24	2	0
01019	0.97	0.96	0.8	2.31	0.42	-32	-34	-3	4	0
01021	0.96	0.88	0.86	3.16	1.17	-40	-61	-3	24	0
01023	0.84	0.89	0.79	1.02	0.0	-38	-16	-22	0	0
01025	0.95	0.98	0.91	1.31	0.52	-39	-15	-24	1	0
01027	0.79	0.81	0.55	1.7	0.63	-35	-27	-9	1	0
01029	0.87	0.85	1.03	1.78	0.0	-25	-26	-1	2	0
01031	0.92	0.84	0.91	2.5	0.65	-68	-70	-12	19	-5
01033	0.85	0.83	0.8	2.05	0.68	-140	-122	-27	8	0
01035	0.97	0.98	0.97	0.63	0.55	-24	-10	-10	-3	0
01037	0.81	0.82	0.77	1.29	2.0	-38	-26	-12	0	0
01039	1.01	0.99	1.04	1.94	0.6	-56	-59	0	3	0
01041	0.98	1.05	0.79	1.24	0.0	-17	-5	-11	-1	0
01043	0.91	0.86	1.07	2.18	1.13	-117	-152	2	33	1
01045	1.03	1.05	0.95	1.32	0.66	-14	-18	1	10	-6
01047	1.11	0.88	1.18	1.13	2.22	-33	-46	11	1	1
01049	1.09	0.85	1.3	2.92	2.11	-18	-129	-1	110	2
01051	0.94	0.92	0.89	2.14	0.89	-97	-106	-8	16	0
01053	1.08	0.97	1.23	1.48	0.96	-19	-37	10	7	1
01055	0.94	0.87	0.93	2.69	1.91	-150	-170	-19	36	4
01057	0.84	0.83	0.78	0.8	5.43	-45	-39	-8	0	2
01059	1.1	0.93	1.0	2.34	3.32	-6	-47	-2	40	3
01061	0.91	0.88	0.85	1.66	2.72	-55	-53	-6	3	1
01063	1.02	0.54	1.1	5.33	2.4	-19	-10	-10	0	0
01065	0.89	0.82	0.91	2.17	1.06	-39	-17	-24	1	0
01067	0.94	0.92	0.89	2.08	4.62	-26	-20	-9	3	0
01069	0.97	0.91	1.08	1.52	0.81	-97	-131	21	13	0
01071	0.87	0.86	0.9	1.15	0.8	-106	-103	-3	1	0
01073	0.93	0.84	0.94	2.36	1.04	-910	-856	-289	206	29
01075	0.91	0.9	0.91	1.2	4.0	-29	-25	-5	1	0
01077	0.8	0.76	0.92	1.89	0.63	-197	-207	-5	15	-1
01079	0.85	0.92	0.71	0.48	0.26	-76	-43	-19	-14	0
01081	0.66	0.61	0.76	1.22	0.88	-110	-89	-30	10	-2
01083	0.93	0.83	0.86	3.09	1.28	-102	-138	-13	49	0
01085	0.96	0.91	0.96	3.83	0.0	-23	-11	-12	1	0
01087	0.72	0.92	0.69	1.53	0.46	-29	-5	-24	0	0
01089	0.84	0.81	0.8	1.59	1.06	-684	-669	-57	36	6
01091	1.0	1.03	0.96	1.37	0.45	-30	-17	-14	2	0
01093	0.93	0.9	1.21	1.74	0.61	-57	-61	1	3	-1
01095	1.24	0.98	1.56	3.54	1.03	70	-101	11	158	2
01097	1.0	0.94	1.06	1.26	1.13	-333	-372	3	11	25
01099	0.92	0.93	0.93	0.77	0.29	-37	-23	-13	0	-1
01101	0.96	0.89	0.94	3.02	1.11	-79	-211	76	53	3
01103	0.99	0.86	1.04	2.68	0.72	-137	-236	11	90	-2
01105	1.09	0.67	1.22	1.3	0.8	2	-10	13	0	0
01107	0.88	0.92	0.81	2.17	0.0	-39	-24	-16	1	0
01109	0.83	0.78	0.86	1.56	0.69	-10	-9	-6	4	1
01111	0.96	0.86	1.09	2.85	4.91	-23	-30	1	6	1
01113	0.94	1.05	0.79	1.44	1.32	-43	-9	-38	5	-1
01115	0.9	0.89	0.86	1.77	0.86	-103	-104	-5	6	1
01117	0.99	0.93	0.88	2.44	1.32	-137	-234	1	85	11
01119	0.79	0.66	0.82	1.36	0.0	-38	-8	-31	0	0
01121	0.99	0.97	0.92	3.2	4.98	-85	-80	-25	13	7
01123	0.95	0.87	0.99	4.48	1.13	-62	-73	0	11	0
01125	0.79	0.76	0.8	1.76	0.8	-138	-176	-1	27	11
01127	0.92	0.89	1.04	1.75	1.2	-126	-127	-3	5	0
01129	0.86	0.87	0.75	1.09	0.75	-39	-24	-17	2	0
01131	1.2	1.01	1.26	0.36	0.0	1	-10	11	0	0
01133	0.85	0.83	1.3	1.67	0.25	-55	-58	1	2	0
02013	0.59	0.46	0.0	0.98	0.2	-13	-4	0	0	-9
02016	0.49	0.53	0.17	0.67	0.28	-17	-6	-1	-2	-9
02020	0.97	0.81	1.38	1.35	1.13	-211	-521	81	199	31
02050	1.64	0.92	3.14	1.77	0.6	85	-7	3	91	-1
02060	0.47	0.48	0.0	0.49	0.0	-9	-6	0	-3	0
02068	1.03	0.68	0.0	3.44	0.5	-6	-9	0	4	0
02070	1.29	0.83	0.0	1.46	0.52	7	-4	0	11	0
02090	1.06	0.99	1.7	1.23	0.89	58	-38	51	55	-10
02100	0.68	0.7	0.0	0.62	0.0	-12	-10	0	-2	0
02105	1.05	1.37	0.0	0.9	0.0	-8	-5	0	-4	0
02110	0.82	0.69	2.27	1.25	0.78	-104	-110	2	12	-7
02122	0.94	0.9	2.11	1.15	0.88	-188	-187	2	-2	-1
02130	1.04	0.95	4.12	1.27	0.95	-30	-34	2	2	-1
02150	1.13	1.07	1.21	1.17	1.27	4	-6	1	3	7
02164	1.13	1.07	0.0	1.18	0.0	-1	-1	0	0	0
02170	1.02	0.96	1.96	1.35	1.19	-127	-158	8	23	0
02180	1.59	0.93	5.19	1.76	0.93	36	-6	1	39	1
02185	1.64	0.59	4.0	1.95	0.58	25	-6	1	32	-3
02188	1.63	0.97	45.6	1.69	0.33	42	-2	2	43	-1
02195	0.78	0.78	0.0	0.79	0.74	-19	-17	0	-2	-1
02198	0.85	0.76	0.0	0.97	0.31	-17	-15	0	-3	0
02220	1.04	0.89	2.27	1.45	0.87	-13	-17	0	5	-1
02230	0.82	0.56	0.0	4.41	0.0	-1	-2	0	1	0
02240	1.34	1.25	1.33	1.75	1.61	2	-4	1	4	1
02261	0.94	0.89	2.08	1.04	1.04	-38	-36	0	-2	0
02270	1.87	1.43	60.0	1.88	4.0	57	1	1	55	0
02275	0.77	0.76	0.0	0.79	0.88	-13	-10	0	-2	0
