GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	0.83	0.82	0.83	0.95	0.79	-100	-85	-13	1	-3
01003	0.93	0.87	1.06	1.65	0.63	-212	-284	20	55	-4
01005	1.14	0.98	1.14	2.83	0.07	12	-12	10	14	0
01007	0.94	0.92	0.96	1.12	1.47	-27	-25	-1	2	-1
01009	0.98	0.89	2.02	1.64	1.49	-50	-86	4	30	2
01011	1.06	1.07	0.94	2.28	0.69	5	-1	-4	9	0
01013	0.92	0.91	0.92	1.73	0.88	-4	-8	3	1	1
01015	0.84	0.78	0.94	1.33	0.82	-121	-156	20	17	-2
01017	0.95	0.9	0.93	3.15	0.81	-34	-34	-10	9	1
01019	0.84	0.8	1.39	1.34	2.85	-50	-53	2	2	1
01021	1.02	0.92	1.16	1.77	1.27	-8	-42	7	25	1
01023	0.81	0.74	0.86	3.71	0.0	-30	-18	-13	2	0
01025	0.85	0.88	0.84	0.64	0.2	-40	-19	-20	0	0
01027	0.91	0.82	1.17	1.54	1.67	-22	-24	-1	3	1
01029	1.0	0.96	1.37	1.79	0.65	-9	-12	1	2	0
01031	0.92	0.86	1.01	1.29	0.66	-56	-72	3	14	-1
01033	0.91	0.89	0.95	1.26	0.63	-60	-60	-5	6	-1
01035	1.02	0.94	1.02	3.53	0.44	-6	-6	-3	3	0
01037	0.69	0.69	0.68	0.86	0.0	-37	-19	-17	-1	0
01039	0.99	0.97	1.11	1.09	0.45	-21	-28	8	0	-1
01041	0.89	0.93	0.77	1.78	0.49	-20	-16	-5	1	-1
01043	0.99	0.93	1.68	1.77	2.31	-19	-63	7	30	7
01045	1.01	0.97	1.01	1.47	0.89	25	-10	12	21	2
01047	0.99	0.84	1.02	2.44	1.04	9	-20	26	3	0
01049	0.98	0.84	1.08	1.66	0.43	-38	-113	2	75	-3
01051	0.8	0.78	0.78	1.15	1.12	-134	-127	-19	11	1
01053	1.02	0.98	1.03	1.46	0.9	7	-7	8	6	-1
01055	0.87	0.81	0.94	1.91	0.5	-136	-153	-4	26	-4
01057	0.91	0.83	1.24	2.2	3.43	-22	-25	-1	3	0
01059	1.04	0.88	1.05	1.8	0.31	8	-32	-1	40	1
01061	0.93	0.9	1.12	1.22	0.52	-35	-41	4	3	-1
01063	0.96	0.79	0.99	0.82	0.0	-8	-3	-4	0	0
01065	0.96	0.92	0.96	1.73	1.45	-15	-12	-5	1	0
01067	0.87	0.83	0.82	2.51	0.84	-28	-23	-8	3	0
01069	0.9	0.84	0.95	1.52	0.65	-63	-99	19	20	-3
01071	0.85	0.82	1.35	1.09	0.71	-75	-82	2	6	-1
01073	0.91	0.84	0.92	1.83	0.85	-91	-358	48	207	12
01075	0.88	0.89	0.85	1.05	0.57	-18	-18	-1	1	0
01077	0.77	0.74	0.85	1.56	0.49	-137	-154	-1	18	1
01079	0.89	0.91	0.87	0.74	0.79	-69	-57	-8	-4	0
01081	0.71	0.64	0.81	1.24	0.77	-17	-59	6	32	4
01083	0.94	0.89	1.05	1.39	0.83	-118	-138	-10	30	0
01085	1.02	0.89	1.05	0.71	1.3	-10	-10	-1	0	0
01087	0.69	0.93	0.64	1.78	0.98	-16	-5	-13	2	0
01089	0.86	0.83	0.84	1.38	0.65	-507	-546	-9	79	-32
