GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	0.99	0.93	1.09	1.7	1.4	-73	-92	13	6	0
01003	1.03	0.94	1.12	2.67	1.22	-221	-307	1	80	5
01005	1.09	0.87	1.0	5.05	1.08	-31	-43	-17	29	0
01007	0.85	0.8	0.99	1.24	0.4	-34	-35	0	0	0
01009	0.97	0.84	1.07	2.44	0.59	-42	-97	2	53	0
01011	1.37	1.31	1.1	5.83	0.52	5	-2	-7	14	0
01013	1.07	1.06	1.07	1.26	1.26	-22	-22	1	0	-1
01015	0.97	0.91	1.03	1.98	1.18	-86	-120	7	32	-4
01017	0.95	0.89	1.02	1.2	1.1	-44	-33	-12	1	0
01019	0.88	0.87	0.92	1.39	0.5	-46	-47	-2	2	1
01021	0.97	0.86	0.93	3.42	1.3	-32	-63	-2	32	0
01023	0.88	0.87	0.89	1.17	0.0	-31	-18	-13	0	0
01025	0.91	0.89	0.92	1.13	0.49	-62	-36	-27	1	0
01027	0.9	0.88	0.85	1.82	0.92	-31	-27	-5	2	0
01029	0.92	0.9	1.12	1.2	1.33	-25	-27	0	2	0
01031	0.95	0.82	0.98	2.86	0.87	-8	-51	8	35	0
01033	0.88	0.84	0.93	1.77	0.76	-122	-118	-10	5	1
01035	0.98	0.93	1.04	0.51	0.0	-23	-13	-6	-3	0
01037	0.8	0.8	0.82	0.75	0.0	-31	-16	-14	0	0
01039	1.06	1.04	1.13	1.68	0.5	-28	-34	5	2	0
01041	1.03	1.04	0.93	2.18	3.43	-12	-10	-4	2	0
01043	0.97	0.9	1.32	2.37	1.13	-75	-128	7	46	1
01045	1.05	1.06	0.98	1.27	0.95	13	1	6	11	-5
01047	1.19	1.0	1.25	1.18	1.78	-12	-35	21	1	0
01049	1.13	0.84	1.62	3.05	1.85	-1	-130	0	128	1
01051	0.99	0.95	0.96	2.54	1.07	-77	-99	-1	21	1
01053	1.06	0.98	1.16	1.3	1.06	-31	-40	4	4	0
01055	0.97	0.87	1.04	2.81	1.94	-103	-151	5	42	2
01057	0.82	0.82	0.69	1.43	5.22	-39	-33	-9	1	2
01059	1.21	0.94	1.17	2.77	2.27	16	-42	-3	59	2
01061	0.96	0.93	0.87	1.85	2.21	-42	-42	-6	7	0
01063	1.05	0.74	1.08	8.57	1.33	-11	-6	-6	1	0
01065	0.95	0.96	0.93	2.71	0.5	-39	-19	-21	1	0
01067	0.9	0.86	0.93	1.26	2.12	-25	-21	-7	2	0
01069	1.0	0.93	1.12	1.46	0.65	-86	-128	33	13	-3
01071	0.88	0.84	1.16	1.38	1.67	-94	-107	3	9	0
01073	0.98	0.85	1.0	2.65	1.14	-448	-708	-41	273	28
01075	1.01	1.01	1.01	0.96	4.0	-23	-18	-5	1	0
01077	0.81	0.77	0.91	1.86	0.65	-167	-179	-4	18	-2
01079	0.91	0.92	0.97	0.71	0.9	-82	-67	-8	-8	1
01081	0.7	0.63	0.79	1.59	1.01	-61	-69	-16	25	-1
01083	0.96	0.84	0.96	3.11	1.06	-109	-163	-10	62	1
01085	1.07	0.9	1.12	4.37	0.0	-27	-15	-12	0	0
01087	0.7	0.81	0.68	1.54	0.35	-28	-12	-16	0	-1
01089	0.89	0.81	0.9	1.97	1.06	-728	-804	-6	77	6
01091	1.02	0.98	1.04	1.44	0.0	-28	-25	-5	3	-1
01093	0.96	0.94	1.18	1.44	0.53	-43	-46	0	2	0
01095	1.33	0.98	2.19	3.75	1.46	91	-131	17	199	6
01097	1.03	0.95	1.11	1.45	1.11	-119	-300	121	29	30
01099	0.97	0.86	1.09	1.0	0.28	-30	-32	2	-1	-1
01101	0.99	0.86	0.97	3.93	1.18	-6	-196	107	79	4
01103	1.03	0.86	1.08	2.99	0.89	-126	-258	9	123	-1
01105	1.09	0.83	1.19	1.3	0.0	4	-2	7	0	0
01107	0.86	0.8	0.88	2.83	0.66	-40	-28	-14	2	0
01109	0.88	0.81	0.91	1.94	0.7	3	-7	0	8	2
01111	1.02	0.89	1.15	3.22	6.0	-24	-37	2	9	2
01113	0.93	0.95	0.88	1.25	1.17	-44	-26	-23	5	0
01115	0.98	0.95	1.01	2.15	0.88	-81	-93	-1	12	1
01117	1.0	0.91	0.97	2.72	1.35	-151	-299	23	114	11
01119	0.86	0.87	0.85	1.18	3.74	-17	-3	-15	1	0
01121	1.02	0.94	1.06	3.4	4.73	-67	-96	9	12	8
01123	1.0	0.9	1.06	4.35	1.83	-41	-57	6	9	0
01125	0.81	0.76	0.84	2.12	0.8	-5	-115	55	44	11
01127	0.96	0.93	1.05	1.81	1.28	-102	-106	-5	9	0
01129	0.93	0.95	0.86	1.01	0.0	-34	-22	-12	1	-1
01131	1.15	0.94	1.18	2.92	0.0	-5	-7	1	1	0
01133	0.93	0.89	1.2	2.19	0.49	-46	-53	1	6	0
02013	0.59	0.55	0.0	0.93	0.28	-13	-3	0	-1	-9
02016	0.66	0.6	0.34	0.85	0.54	-14	-6	0	-1	-6
02020	1.05	0.9	1.57	1.29	1.17	60	-303	117	185	61
02050	1.71	1.28	2.37	1.78	0.75	85	1	2	83	-1
02060	0.61	0.67	0.0	0.54	0.86	-7	-4	0	-4	0
02068	0.81	0.91	0.0	0.6	0.0	-8	-7	0	0	0
02070	1.28	0.87	0.0	1.41	0.77	5	-3	0	8	0
02090	1.14	1.06	1.82	1.23	1.13	154	34	62	59	-1
02100	0.88	0.9	0.0	0.87	0.0	-10	-9	0	0	0
02105	0.95	1.13	0.0	0.87	0.52	-7	-3	0	-3	0
02110	0.88	0.77	2.07	1.14	1.05	-84	-89	2	5	-2
02122	1.06	1.02	2.86	1.2	1.08	-113	-114	4	-2	-2
02130	1.06	0.96	4.03	1.28	0.96	-17	-23	2	5	-1
02150	1.23	1.14	1.53	1.43	1.21	21	2	1	12	6
02164	0.97	0.47	0.0	1.14	0.49	1	-1	0	2	0
02170	1.08	1.03	1.95	1.29	1.25	-81	-113	10	22	0
02180	1.7	1.03	6.36	1.86	0.9	50	-2	1	51	0
02185	1.68	1.04	4.08	1.85	1.11	27	-1	1	29	-2
02188	1.59	1.14	52.0	1.63	0.71	39	-1	1	40	-1
02195	0.77	0.8	0.0	0.75	0.55	-12	-11	0	0	-1
02198	0.95	0.82	2.93	1.06	1.37	-16	-15	0	-1	0
02220	0.96	0.84	1.65	1.25	0.95	-6	-10	0	3	1
02230	0.96	0.75	0.0	3.92	0.0	2	0	0	1	0
02240	1.38	1.37	1.32	1.46	1.48	9	4	1	3	1
02261	0.99	0.95	2.09	1.2	0.67	-27	-29	0	2	-1
02270	1.87	1.5	7.5	1.89	0.0	61	4	0	57	0
02275	0.94	0.92	0.0	1.05	0.0	-8	-7	0	-1	0
02282	0.89	0.92	0.0	0.93	0.0	0	0	0	-1	0
02290	1.09	0.77	12.0	1.19	0.33	-9	-7	0	-1	-1
04001	1.41	1.24	2.42	1.44	1.34	134	-7	12	126	4
04003	1.23	1.08	1.9	1.34	1.08	-24	-125	25	80	-4
04005	1.08	0.83	1.53	1.39	0.8	53	-154	9	200	-1
