GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	0.96	0.96	1.0	1.15	0.73	-7	-12	4	1	0
01003	0.92	0.87	1.17	1.22	1.4	-218	-255	27	10	0
01005	1.01	0.85	1.14	1.3	0.96	-20	-35	12	2	1
01007	0.95	0.93	1.05	0.61	0.0	-5	-8	3	0	0
01009	0.96	0.88	1.25	2.07	1.21	-33	-67	1	33	0
01011	1.02	0.97	0.98	2.26	0.73	3	-3	3	4	0
01013	0.92	0.89	0.96	0.73	0.0	-34	-25	-8	-1	0
01015	0.89	0.84	1.06	1.38	0.63	-147	-174	21	11	-5
01017	0.89	0.85	0.94	1.28	0.88	-42	-41	-2	2	0
01019	0.88	0.86	1.0	2.31	0.0	-40	-40	-2	2	0
01021	0.9	0.86	1.0	1.52	0.75	-32	-42	3	7	0
01023	0.94	0.96	0.93	1.0	0.0	-21	-12	-8	0	0
01025	1.09	1.05	1.14	1.02	1.09	18	-8	24	1	0
01027	0.89	0.88	0.91	0.91	0.0	-15	-15	0	0	0
01029	0.86	0.84	1.25	1.43	1.09	-22	-24	1	1	-1
01031	0.91	0.87	1.0	1.43	0.44	-44	-47	5	4	-6
01033	0.86	0.83	0.93	1.26	1.78	-84	-81	-6	2	0
01035	0.93	0.85	1.02	0.33	0.65	-28	-23	-4	-1	0
01037	0.87	0.83	0.92	1.58	3.0	-17	-13	-4	0	0
01039	0.88	0.83	1.13	0.98	0.89	-61	-62	1	0	0
01041	0.89	0.88	0.92	0.88	0.0	-21	-19	-2	0	0
01043	0.91	0.88	1.32	1.8	0.6	-72	-92	2	18	0
01045	1.05	0.98	1.21	1.45	0.65	37	-3	29	14	-3
01047	1.05	0.86	1.13	0.93	1.16	4	-48	53	0	0
01049	0.98	0.87	1.49	2.06	1.4	-1	-60	2	55	2
01051	0.93	0.9	1.0	1.18	0.64	-56	-71	14	2	-2
01053	0.99	0.9	1.14	1.16	0.7	-25	-40	12	3	0
01055	0.94	0.88	1.06	1.98	0.89	-112	-142	12	20	-2
01057	0.92	0.92	0.88	0.93	2.4	-24	-24	-1	1	0
01059	0.95	0.86	0.88	2.06	3.22	-20	-45	-1	25	1
01061	0.86	0.83	0.89	1.46	2.04	-48	-50	-1	3	0
01063	1.09	0.73	1.16	0.0	1.26	-5	-7	3	0	0
01065	1.13	1.19	1.11	0.79	1.09	15	3	12	0	0
01067	0.86	0.81	0.89	1.84	2.0	-39	-31	-11	3	0
01069	0.94	0.87	1.09	1.43	0.9	-80	-120	33	7	0
01071	0.85	0.83	1.16	1.05	1.11	-88	-91	2	-1	1
01073	0.86	0.78	0.93	1.5	0.98	-1040	-942	-201	85	19
